"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT","omegaIN","lambdaIN"
"1","value_alt_offset","perc_offset","77",1,119.495470029354,242.990940058709,243.354576422345,246.157977935621,NA,0.161777776344618,NA,0.905349794238683,NA,NA,0.660493827160494,0,6.1389936613097
"2","value_alt_offset","perc_offset","77",2,118.490265545468,240.980531090937,241.344167454573,244.147568967849,NA,0.161777776344618,NA,0.888787278362038,NA,NA,0.722374638012498,0,6.1389936613097
"3","value_alt_offset","perc_offset","77",3,120.052921576063,244.105843152126,244.469479515762,247.272881029038,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.932098765432099,0,6.1389936613097
"4","value_alt_offset","perc_offset","77",4,119.369060717168,242.738121434336,243.101757797972,245.905159311248,NA,0.161777776344618,NA,0.889193720469441,NA,NA,0.969135802755539,0,6.1389936613097
"5","value_alt_offset","perc_offset","77",5,119.012122291376,242.024244582752,242.387880946389,245.191282459665,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.783950826359109,0,6.1389936613097
"6","value_alt_offset","perc_offset","77",6,118.715401681794,241.430803363588,241.794439727225,244.597841240501,NA,0.161777776344618,NA,0.897119341563786,NA,NA,0.961057765584515,0,6.1389936613097
"7","value_alt_offset","perc_offset","77",7,118.558263491336,241.116526982673,241.480163346309,244.283564859585,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.980160544632424,0,6.1389936613097
"8","value_alt_offset","perc_offset","77",8,119.365884918667,242.731769837334,243.09540620097,245.898807714246,NA,0.161777776344618,NA,0.888888904375938,NA,NA,0.794975367190763,0,6.1389936613097
"9","value_alt_offset","perc_offset","77",9,119.552443682778,243.104887365555,243.468523729192,246.271925242467,NA,0.161777776344618,NA,0.897153211548205,NA,NA,0.723593964334705,0,6.1389936613097
"10","value_alt_offset","perc_offset","77",10,118.626567546052,241.253135092105,241.616771455741,244.420172969017,NA,0.161777776344618,NA,0.886145404663923,NA,NA,0.683965858862978,0,6.1389936613097
"11","value_alt_offset","perc_offset","77",11,119.328473948215,242.65694789643,243.020584260066,245.823985773342,NA,0.161777776344618,NA,0.888888888881807,NA,NA,0.598765432098765,0,6.1389936613097
"12","value_alt_offset","perc_offset","77",12,118.895244892214,241.790489784427,242.154126148063,244.957527661339,NA,0.161777776344618,NA,0.897130631622325,NA,NA,0.907407407407407,0,6.1389936613097
"13","value_alt_offset","perc_offset","77",13,118.783291258272,241.566582516544,241.930218880181,244.733620393456,NA,0.161777776344618,NA,0.880658436213992,NA,NA,0.981481481481481,0,6.1389936613097
"14","value_alt_offset","perc_offset","77",14,118.461189025531,240.922378051062,241.286014414698,244.089415927974,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.878143575670768,0,6.1389936613097
"15","value_alt_offset","perc_offset","77",15,120.24102518082,244.48205036164,244.845686725276,247.649088238552,NA,0.161777776344618,NA,0.897119341563786,NA,NA,0.944901691847138,0,6.1389936613097
"16","value_alt_offset","perc_offset","77",16,119.351293408894,242.702586817788,243.066223181424,245.8696246947,NA,0.161777776344618,NA,0.895900015241579,NA,NA,0.746456332876086,0,6.1389936613097
"17","value_alt_offset","perc_offset","77",17,119.456253858657,242.912507717314,243.276144080951,246.079545594226,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.858024691358025,0,6.1389936613097
"18","value_alt_offset","perc_offset","77",18,118.677681306929,241.355362613858,241.718998977494,244.52240049077,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.952657962031533,0,6.1389936613097
"19","value_alt_offset","perc_offset","77",19,118.435432006584,240.870864013169,241.234500376805,244.037901890081,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.776177412840273,0,6.1389936613097
"20","value_alt_offset","perc_offset","77",20,118.860179107008,241.720358214016,242.083994577653,244.887396090928,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.820987654320988,0,6.1389936613097
"21","value_alt_offset","perc_offset","77",21,118.94378723639,241.887574472779,242.251210836416,245.054612349692,NA,0.161777776344618,NA,0.905349794238683,NA,NA,0.932098765432099,0,6.1389936613097
"22","value_alt_offset","perc_offset","77",22,118.587286996757,241.174573993514,241.53821035715,244.341611870426,NA,0.161777776344618,NA,0.889193722190224,NA,NA,0.536427373875933,0,6.1389936613097
"23","value_alt_offset","perc_offset","77",23,118.22720035847,240.454400716939,240.818037080575,243.621438593851,NA,0.161777776344618,NA,0.888888888888889,NA,NA,0.722069806431946,0,6.1389936613097
"24","value_alt_offset","perc_offset","77",24,119.246242106226,242.492484212452,242.856120576089,245.659522089365,NA,0.161777776344618,NA,0.913580246912793,NA,NA,0.919753086419753,0,6.1389936613097
"25","value_alt_offset","perc_offset","77",25,119.810747243984,243.621494487967,243.985130851603,246.788532364879,NA,0.161777776344618,NA,0.887974399309583,NA,NA,0.993827160493827,0,6.1389936613097
"26","value_alt_offset","perc_offset","77",26,119.016816435669,242.033632871339,242.397269234975,245.200670748251,NA,0.161777776344618,NA,0.889193720448196,NA,NA,0.837448559670782,0,6.1389936613097
"27","value_alt_offset","perc_offset","77",27,118.886315525993,241.772631051987,242.136267415623,244.939668928899,NA,0.161777776344618,NA,0.888922759064506,NA,NA,0.858007756270216,0,6.1389936613097
"28","value_alt_offset","perc_offset","77",28,119.047504787733,242.095009575466,242.458645939103,245.262047452379,NA,0.161777776344618,NA,0.905349794238683,NA,NA,0.685185186045577,0,6.1389936613097
"29","value_alt_offset","perc_offset","77",29,119.190404025153,242.380808050306,242.744444413943,245.547845927218,NA,0.161777776344618,NA,0.891937204694406,NA,NA,0.760631001371742,0,6.1389936613097
"30","value_alt_offset","perc_offset","77",30,119.236351337321,242.472702674642,242.836339038278,245.639740551554,NA,0.161777776344618,NA,0.897119341563786,NA,NA,0.611111111111111,0,6.1389936613097
"31","value_alt_offset","full_offset","77",1,117.098324768342,242.196649536684,243.486972117329,248.530725290508,NA,0.897119341563786,NA,0.831275720164609,0.303840854684379,0.473251028806585,0.0720333959931583,NA,NA
"32","value_alt_offset","full_offset","77",2,117.338791146428,242.677582292855,243.9679048735,249.01165804668,NA,0.897119341563786,NA,0.823045267489712,0.314814814814815,0.473251028806585,0.109053497942387,NA,NA
"33","value_alt_offset","full_offset","77",3,117.201920308943,242.403840617886,243.694163198531,248.73791637171,NA,0.897119341563786,NA,0.814814814814815,0.207818930041147,0.51440329218107,0.168190824569425,NA,NA
"34","value_alt_offset","full_offset","77",4,117.188880941795,242.37776188359,243.668084464235,248.711837637415,NA,0.897119341563786,NA,0.814814814814815,0.141975308641975,0.473251028806585,0.0953360768175583,NA,NA
"35","value_alt_offset","full_offset","77",5,117.204486864395,242.40897372879,243.699296309435,248.743049482614,NA,0.897119341563786,NA,0.814814814814815,0.203720638791512,0.473251028806585,0.141975308641975,NA,NA
"36","value_alt_offset","full_offset","77",6,117.156030606225,242.31206121245,243.602383793095,248.646136966274,NA,0.897119341563786,NA,0.81390032007316,0.0555555555555556,0.473250951371341,0.244855967078189,NA,NA
"37","value_alt_offset","full_offset","77",7,117.222301751401,242.444603502802,243.734926083447,248.778679256627,NA,0.897119341563786,NA,0.814814814814815,0.180385969467918,0.461057765584078,0.0555555555555556,NA,NA
"38","value_alt_offset","full_offset","77",8,117.064093774223,242.128187548445,243.418510129091,248.46226330227,NA,0.897119341563786,NA,0.823045269210495,0.0404663923182442,0.473251028806585,0.0720164609053498,NA,NA
"39","value_alt_offset","full_offset","77",9,117.15278939405,242.3055787881,243.595901368745,248.639654541925,NA,0.897119341563786,NA,0.814814814814815,0.141975308641975,0.473251028806585,0.0555555555555556,NA,NA
"40","value_alt_offset","full_offset","77",10,117.129699916603,242.259399833206,243.549722413851,248.59347558703,NA,0.897119341563786,NA,0.839506172839506,0.191358024691358,0.432098765432099,0.265432098765432,NA,NA
"41","value_alt_offset","full_offset","77",11,117.177653887462,242.355307774924,243.645630355569,248.689383528748,NA,0.897119341563786,NA,0.839506172839506,0.327160493827161,0.432098765432099,0.125514403292181,NA,NA
"42","value_alt_offset","full_offset","77",12,117.177391135055,242.35478227011,243.645104850756,248.688858023935,NA,0.897119341563786,NA,0.839404562312656,0.0797896662094193,0.432098765443901,0.0925925925925926,NA,NA
"43","value_alt_offset","full_offset","77",13,117.099927499424,242.199854998848,243.490177579494,248.533930752673,NA,0.897119341563786,NA,0.823056975698567,0.0802471226554051,0.445816883474121,0.106310013717421,NA,NA
"44","value_alt_offset","full_offset","77",14,117.286443910787,242.572887821574,243.863210402219,248.906963575398,NA,0.897119341563786,NA,0.839506172839506,0.277632911923768,0.432098765432099,0.178555098308185,NA,NA
"45","value_alt_offset","full_offset","77",15,117.093488980689,242.186977961377,243.477300542023,248.521053715202,NA,0.897119341563786,NA,0.814814814814815,0.265584537786281,0.476299344612102,0.0267489711934157,NA,NA
"46","value_alt_offset","full_offset","77",16,117.140264487464,242.280528974929,243.570851555574,248.614604728753,NA,0.897119341563786,NA,0.814814814814815,0.154320987654321,0.47319457851389,0.232357872275568,NA,NA
"47","value_alt_offset","full_offset","77",17,117.198659260926,242.397318521853,243.687641102498,248.731394275677,NA,0.897119341563786,NA,0.839506172839506,0.166666666666667,0.473251028806585,0.12962962962963,NA,NA
"48","value_alt_offset","full_offset","77",18,117.098428153661,242.196856307321,243.487178887966,248.530932061145,NA,0.897119341563786,NA,0.831275720164609,0.314814814814815,0.473251028806585,0.150205761316872,NA,NA
"49","value_alt_offset","full_offset","77",19,116.917950010495,241.83590002099,243.126222601635,248.169975774814,NA,0.897119341563786,NA,0.831275720164609,0.0445816186556928,0.432105037686843,0.141975308641975,NA,NA
"50","value_alt_offset","full_offset","77",20,117.249280368393,242.498560736786,243.788883317431,248.832636490611,NA,0.897119341563786,NA,0.839506172839506,0.0679012345679013,0.432098765432099,0.0925925925925926,NA,NA
"51","value_alt_offset","full_offset","77",21,117.094828759617,242.189657519234,243.47998009988,248.523733273059,NA,0.897119341563786,NA,0.814814814814815,0.281893004115226,0.473251028806585,0.0390946502057615,NA,NA
"52","value_alt_offset","full_offset","77",22,117.088909358567,242.177818717134,243.468141297779,248.511894470958,NA,0.897119341563786,NA,0.839506172903239,0.288751714677641,0.41838134430727,0.154320987654321,NA,NA
"53","value_alt_offset","full_offset","77",23,117.098314946792,242.196629893584,243.486952474229,248.530705647408,NA,0.897119341563786,NA,0.831275720164609,0.207818930041152,0.473251028806585,0.0637860082304527,NA,NA
"54","value_alt_offset","full_offset","77",24,117.083148532285,242.166297064571,243.456619645216,248.500372818395,NA,0.897119341563786,NA,0.823045267489712,0.316186556927298,0.468735005391003,0.104938271604938,NA,NA
"55","value_alt_offset","full_offset","77",25,117.150726822565,242.30145364513,243.591776225775,248.635529398954,NA,0.897119341563786,NA,0.814814814814815,0.0925925925925926,0.473251028806585,0.0967134639593106,NA,NA
"56","value_alt_offset","full_offset","77",26,117.08303196794,242.16606393588,243.456386516525,248.500139689704,NA,0.897119341563786,NA,0.823079137665329,0.244855967078189,0.473251028806585,0.0679012345679013,NA,NA
"57","value_alt_offset","full_offset","77",27,117.395518410638,242.791036821276,244.081359401921,249.1251125751,NA,0.897119341563786,NA,0.81390032007316,0.0184677132550933,0.473251028806585,0.240740740740741,NA,NA
