"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","full_offset","perc_offset","120",1,133.674935071078,271.349870142156,271.713506505792,274.516908019068,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.345679012343318,NA,NA,0.5
"2","full_offset","perc_offset","120",2,149.020848361312,302.041696722625,302.405333086261,305.208734599537,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.337448420287343,NA,NA,0.290123456790123
"3","full_offset","perc_offset","120",3,150.47535863857,304.95071727714,305.314353640777,308.117755154053,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.487654320987654
"4","full_offset","perc_offset","120",4,154.226276953402,312.452553906805,312.816190270441,315.619591783717,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.858024691358025
"5","full_offset","perc_offset","120",5,149.80286519176,303.60573038352,303.969366747156,306.772768260432,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.337448559479584,NA,NA,0.351851851851852
"6","full_offset","perc_offset","120",6,159.205823179137,322.411646358274,322.775282721911,325.578684235186,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.296296296296384,NA,NA,0.425925949156499
"7","full_offset","perc_offset","120",7,128.436119373372,260.872238746743,261.235875110379,264.039276623655,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.329218106995885,NA,NA,0.457475994513032
"8","full_offset","perc_offset","120",8,138.701856818519,281.403713637038,281.767350000674,284.57075151395,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.342935528120713,NA,NA,0.549382716049383
"9","full_offset","perc_offset","120",9,138.939499277585,281.878998555171,282.242634918807,285.046036432083,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654321017,NA,NA,0.425925925925926
"10","full_offset","perc_offset","120",10,136.515595461723,277.031190923446,277.394827287082,280.198228800358,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.320987654320988,NA,NA,0.767489711934156
"11","full_offset","perc_offset","120",11,141.148140402735,286.296280805469,286.659917169106,289.463318682382,NA,-0.168222223655382,0,6.0389936613097,0.601023443806733,0.370370370349126,NA,NA,0.37654321016334
