"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","perc_offset","perc_offset","73",1,129.426407490026,262.852814980052,263.216451343689,266.019852856964,NA,0.539996236647403,NA,NA,0.201023443806733,0.526748971193415,NA,NA,0.133744855967078
"2","perc_offset","perc_offset","73",2,131.827740314123,267.655480628246,268.019116991883,270.822518505159,NA,0.539996236647403,NA,NA,0.201023443806733,0.567901232847118,NA,NA,0.24071627894724
"3","perc_offset","perc_offset","73",3,119.437742128765,242.875484257531,243.239120621167,246.042522134443,NA,0.539996236647403,NA,NA,0.201023443806733,0.54320987654321,NA,NA,0.179012345679012
"4","perc_offset","perc_offset","73",4,121.275620710233,246.551241420466,246.914877784102,249.718279297378,NA,0.539996236647403,NA,NA,0.201023443806733,0.540466392318244,NA,NA,0.141975308641975
"5","perc_offset","perc_offset","73",5,124.686380732334,253.372761464668,253.736397828305,256.53979934158,NA,0.539996236647403,NA,NA,0.201023443806733,0.526748971193415,NA,NA,0.183127572016461
"6","perc_offset","perc_offset","73",6,118.637077771582,241.274155543164,241.6377919068,244.441193420076,NA,0.539996236647403,NA,NA,0.201023443806733,0.543211130994158,NA,NA,0.282046023900403
"7","perc_offset","perc_offset","73",7,127.344906699346,258.689813398693,259.053449762329,261.856851275605,NA,0.539996236647403,NA,NA,0.201023443806733,0.540477682376783,NA,NA,0.2946959304984
"8","perc_offset","perc_offset","73",8,124.749222647899,253.498445295798,253.862081659434,256.66548317271,NA,0.539996236647403,NA,NA,0.201023443806733,0.518517264067569,NA,NA,0.244855967078189
"9","perc_offset","perc_offset","73",9,129.635229363498,263.270458726995,263.634095090632,266.437496603907,NA,0.539996236647403,NA,NA,0.201023443806733,0.518517682217886,NA,NA,0.302452200714661
"10","perc_offset","perc_offset","73",10,127.64460128872,259.289202577439,259.652838941076,262.456240454351,NA,0.539996236647403,NA,NA,0.201023443806733,0.518518518518518,NA,NA,0.244855967078189
"11","perc_offset","perc_offset","73",11,127.6143030068,259.228606013599,259.592242377236,262.395643890511,NA,0.539996236647403,NA,NA,0.201023443806733,0.559659491834465,NA,NA,0.162551440329218
"12","perc_offset","perc_offset","73",12,126.528541302375,257.057082604751,257.420718968387,260.224120481663,NA,0.539996236647403,NA,NA,0.201023443806733,0.54320987654321,NA,NA,0.327160493827161
"13","perc_offset","perc_offset","73",13,122.112129515387,248.224259030774,248.587895394411,251.391296907686,NA,0.539996236647403,NA,NA,0.201023443806733,0.518518518518518,NA,NA,0.277777777777778
"14","perc_offset","perc_offset","73",14,134.909364255057,273.818728510113,274.18236487375,276.985766387026,NA,0.539996236647403,NA,NA,0.201023443806733,0.518518518518518,NA,NA,0.314814814825437
"15","perc_offset","perc_offset","73",15,123.928487700011,251.856975400023,252.220611763659,255.024013276935,NA,0.539996236647403,NA,NA,0.201023443806733,0.545027575967981,NA,NA,0.227023319615912
"16","perc_offset","perc_offset","73",16,122.080453877487,248.160907754973,248.524544118609,251.327945631885,NA,0.539996236647403,NA,NA,0.201023443806733,0.54320987138086,NA,NA,0.425925925161133
"17","perc_offset","perc_offset","73",17,129.124662675531,262.249325351062,262.612961714698,265.416363227974,NA,0.539996236647403,NA,NA,0.201023443806733,0.551541939744957,NA,NA,0.360082304526749
"18","perc_offset","perc_offset","73",18,126.785758507513,257.571517015026,257.935153378662,260.738554891938,NA,0.539996236647403,NA,NA,0.201023443806733,0.526748971194202,NA,NA,0.177640611310054
"19","perc_offset","perc_offset","73",19,130.223197562288,264.446395124575,264.810031488212,267.613433001487,NA,0.539996236647403,NA,NA,0.201023443806733,0.521262002743484,NA,NA,0.273662551440329
"20","perc_offset","perc_offset","73",20,127.64460128872,259.289202577439,259.652838941076,262.456240454351,NA,0.539996236647403,NA,NA,0.201023443806733,0.518518518518518,NA,NA,0.228547485262195
"21","perc_offset","perc_offset","73",21,121.243117713107,246.486235426214,246.84987178985,249.653273303126,NA,0.539996236647403,NA,NA,0.201023443806733,0.54320987654321,NA,NA,0.277777777777778
"22","perc_offset","perc_offset","73",22,122.044062427822,248.088124855643,248.45176121928,251.255162732556,NA,0.539996236647403,NA,NA,0.201023443806733,0.537722908093278,NA,NA,0.0884773662551441
"23","perc_offset","perc_offset","73",23,122.280008952587,248.560017905173,248.92365426881,251.727055782086,NA,0.539996236647403,NA,NA,0.201023443806733,0.556927297668029,NA,NA,0.257201669321108
"24","perc_offset","perc_offset","73",24,122.0804539234,248.160907846799,248.524544210436,251.327945723712,NA,0.539996236647403,NA,NA,0.201023443806733,0.54320987654321,NA,NA,0.351851851851852
"25","perc_offset","perc_offset","73",25,137.90005626256,279.80011252512,280.163748888756,282.967150402032,NA,0.539996236647403,NA,NA,0.201023443806733,0.54320987654321,NA,NA,0.298353909465021
