"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT","omegaIN","lambdaIN"
"1","value_alt_offset","perc_offset","104",1,162.698209809464,329.396419618928,329.760055982565,332.563457495841,NA,0.0217777763446177,NA,0.246913580246914,NA,NA,0.203703703703704,0,7.0389936613097
"2","value_alt_offset","perc_offset","104",2,170.136444578332,344.272889156664,344.6365255203,347.439927033576,NA,0.0217777763446177,NA,0.296194685776527,NA,NA,0.710333581502005,0,7.0389936613097
"3","value_alt_offset","perc_offset","104",3,142.770821901398,289.541643802796,289.905280166432,292.708681679708,NA,0.0217777763446177,NA,0.271603684011854,NA,NA,0.314814814818356,0,7.0389936613097
"4","value_alt_offset","perc_offset","104",4,156.122070911454,316.244141822909,316.607778186545,319.411179699821,NA,0.0217777763446177,NA,0.222222268683369,NA,NA,0.430041153123766,0,7.0389936613097
"5","value_alt_offset","perc_offset","104",5,149.708384586838,303.416769173677,303.780405537313,306.583807050589,NA,0.0217777763446177,NA,0.271604938271605,NA,NA,0.302469135802469,0,7.0389936613097
"6","value_alt_offset","perc_offset","104",6,135.696244084967,275.392488169935,275.756124533571,278.559526046847,NA,0.0217777763446177,NA,0.271604938271605,NA,NA,0.360082304526749,0,7.0389936613097
"7","value_alt_offset","perc_offset","104",7,149.337816639835,302.67563327967,303.039269643307,305.842671156582,NA,0.0217777763446177,NA,0.271608701624451,NA,NA,0.475308641975309,0,7.0389936613097
"8","value_alt_offset","perc_offset","104",8,147.160249611373,298.320499222746,298.684135586382,301.487537099658,NA,0.0217777763446177,NA,0.296285005642918,NA,NA,0.204160951074531,0,7.0389936613097
"9","value_alt_offset","perc_offset","104",9,136.101821469915,276.20364293983,276.567279303466,279.370680816742,NA,0.0217777763446177,NA,0.271604938271605,NA,NA,0.232510288065844,0,7.0389936613097
"10","value_alt_offset","perc_offset","104",10,142.830138125339,289.660276250679,290.023912614315,292.827314127591,NA,0.0217777763446177,NA,0.288065843621399,NA,NA,0.574074074074074,0,7.0389936613097
"11","value_alt_offset","perc_offset","104",11,142.875606131351,289.751212262702,290.114848626338,292.918250139614,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.364349946654473,0,7.0389936613097
"12","value_alt_offset","perc_offset","104",12,136.348031996533,276.696063993066,277.059700356703,279.863101869978,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.199131229995428,0,7.0389936613097
"13","value_alt_offset","perc_offset","104",13,142.122613616357,288.245227232714,288.60886359635,291.412265109626,NA,0.0217777763446177,NA,0.288065843621399,NA,NA,0.504115226337449,0,7.0389936613097
"14","value_alt_offset","perc_offset","104",14,136.140330214657,276.280660429314,276.64429679295,279.447698306226,NA,0.0217777763446177,NA,0.296295041845348,NA,NA,0.352004894963201,0,7.0389936613097
"15","value_alt_offset","perc_offset","104",15,129.643964604533,263.287929209065,263.651565572702,266.454967085978,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.611111111111111,0,7.0389936613097
"16","value_alt_offset","perc_offset","104",16,163.366696986936,330.733393973871,331.097030337508,333.900431850783,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.512345678980479,0,7.0389936613097
"17","value_alt_offset","perc_offset","104",17,157.843691828683,319.687383657367,320.051020021003,322.854421534279,NA,0.0217777763446177,NA,0.197530864197531,NA,NA,0.5,0,7.0389936613097
"18","value_alt_offset","perc_offset","104",18,130.461136462597,264.922272925194,265.285909288831,268.089310802106,NA,0.0217777763446177,NA,0.320987654320988,NA,NA,0.277777777777778,0,7.0389936613097
"19","value_alt_offset","perc_offset","104",19,137.458245580242,278.916491160483,279.28012752412,282.083529037395,NA,0.0217777763446177,NA,0.271604938271867,NA,NA,0.734567901234568,0,7.0389936613097
"20","value_alt_offset","perc_offset","104",20,136.341928479226,276.683856958451,277.047493322088,279.850894835363,NA,0.0217777763446177,NA,0.295991464715744,NA,NA,0.314814814814815,0,7.0389936613097
"21","value_alt_offset","perc_offset","104",21,129.54546773618,263.090935472361,263.454571835997,266.257973349273,NA,0.0217777763446177,NA,0.288065843621399,NA,NA,0.162551439467646,0,7.0389936613097
"22","value_alt_offset","perc_offset","104",22,129.688087919476,263.376175838952,263.739812202589,266.543213715865,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.347736625514403,0,7.0389936613097
"23","value_alt_offset","perc_offset","104",23,136.259785368374,276.519570736747,276.883207100384,279.686608613659,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.253543667123914,0,7.0389936613097
"24","value_alt_offset","perc_offset","104",24,143.021119390806,290.042238781613,290.405875145249,293.209276658525,NA,0.0217777763446177,NA,0.31275720164373,NA,NA,0.652263374485597,0,7.0389936613097
"25","value_alt_offset","perc_offset","104",25,123.931744466831,251.863488933663,252.227125297299,255.030526810575,NA,0.0217777763446177,NA,0.222222222222222,NA,NA,0.314812933138392,0,7.0389936613097
"26","value_alt_offset","perc_offset","104",26,150.396992414697,304.793984829395,305.157621193031,307.961022706307,NA,0.0217777763446177,NA,0.222222222222222,NA,NA,0.279149519890261,0,7.0389936613097
"27","value_alt_offset","perc_offset","104",27,133.204065915705,270.408131831409,270.771768195046,273.575169708321,NA,0.0217777763446177,NA,0.279835390946502,NA,NA,0.272290809327846,0,7.0389936613097
"28","value_alt_offset","perc_offset","104",28,142.582323755465,289.16464751093,289.528283874567,292.331685387842,NA,0.0217777763446177,NA,0.296296296289215,NA,NA,0.87037037037037,0,7.0389936613097
"29","value_alt_offset","perc_offset","104",29,143.093582376566,290.187164753132,290.550801116769,293.354202630045,NA,0.0217777763446177,NA,0.296296296296296,NA,NA,0.796296296296296,0,7.0389936613097
"30","value_alt_offset","perc_offset","104",30,123.115667060337,250.231334120674,250.59497048431,253.398371997586,NA,0.0217777763446177,NA,0.296262426120679,NA,NA,0.364197530864198,0,7.0389936613097
"31","value_alt_offset","full_offset","104",1,115.99066691845,239.981333836899,241.271656417544,246.315409590724,NA,0.296262426120679,NA,0.0216472254643636,0.179164762297813,7.16733372952719,0.0404663217661186,NA,NA
"32","value_alt_offset","full_offset","104",2,115.992955238751,239.985910477501,241.276233058147,246.319986231326,NA,0.296262426120679,NA,0.021947858312648,0.0198902606310014,7.08504801096213,0.0445816186556928,NA,NA
"33","value_alt_offset","full_offset","104",3,116.006366039611,240.012732079222,241.303054659867,246.346807833046,NA,0.296262426120679,NA,0.0219478737997258,0.162094192958391,7.22222222222222,0.179012345679008,NA,NA
"34","value_alt_offset","full_offset","104",4,116.003213385321,240.006426770641,241.296749351286,246.340502524466,NA,0.296262426120679,NA,0.0219478737997258,0.155692729766804,7.08504801097394,0.118655692729767,NA,NA
"35","value_alt_offset","full_offset","104",5,116.019876481983,240.039752963966,241.330075544611,246.37382871779,NA,0.296262426120679,NA,0.0219478737997258,0.0651577503429356,8.16872435727063,0.152491998171006,NA,NA
"36","value_alt_offset","full_offset","104",6,116.006596116649,240.013192233298,241.303514813943,246.347267987122,NA,0.296262426120679,NA,0.0219478737997258,0.150205761412471,7.05761316872428,0.236625514403292,NA,NA
"37","value_alt_offset","full_offset","104",7,115.995836080005,239.991672160011,241.281994740656,246.325747913835,NA,0.296262426120679,NA,0.0219478730349332,0.104785855814662,7.11248285322228,0.0512879131410339,NA,NA
"38","value_alt_offset","full_offset","104",8,115.998858640504,239.997717281008,241.288039861653,246.331793034833,NA,0.296262426120679,NA,0.0219478737997258,0.288751714677641,7.79835390946502,0.150205761316872,NA,NA
