"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","perc_offset","perc_offset","10",1,170.967491101406,345.934982202812,346.298618566449,349.102020079724,NA,0.269996236647403,NA,NA,0.301023443806733,0.370370370349388,NA,NA,0.5
"2","perc_offset","perc_offset","10",2,162.418172943001,328.836345886002,329.199982249639,332.003383762914,NA,0.269996236647403,NA,NA,0.301023443806733,0.320987654894582,NA,NA,0.425925925925926
"3","perc_offset","perc_offset","10",3,153.751047864499,311.502095728998,311.865732092634,314.66913360591,NA,0.269996236647403,NA,NA,0.301023443806733,0.22222222222231,NA,NA,0.401234567901235
"4","perc_offset","perc_offset","10",4,149.171570780486,302.343141560971,302.706777924608,305.510179437884,NA,0.269996236647403,NA,NA,0.301023443806733,0.320987654320988,NA,NA,0.462962962962963
"5","perc_offset","perc_offset","10",5,159.450150669509,322.900301339018,323.263937702654,326.06733921593,NA,0.269996236647403,NA,NA,0.301023443806733,0.222222222222222,NA,NA,0.41358024691358
"6","perc_offset","perc_offset","10",6,174.340134987476,352.680269974952,353.043906338589,355.847307851864,NA,0.269996236647403,NA,NA,0.301023443806733,0.370370370370371,NA,NA,0.549382708305858
"7","perc_offset","perc_offset","10",7,145.302507911156,294.605015822311,294.968652185947,297.772053699223,NA,0.269996236647403,NA,NA,0.301023443806733,0.288065843621399,NA,NA,0.611109229434688
"8","perc_offset","perc_offset","10",8,149.401196746165,302.80239349233,303.166029855966,305.969431369242,NA,0.269996236647403,NA,NA,0.301023443806733,0.419753086419753,NA,NA,0.487654320987654
"9","perc_offset","perc_offset","10",9,137.734970199797,279.469940399593,279.833576763229,282.636978276505,NA,0.269996236647403,NA,NA,0.301023443806733,0.345679012345679,NA,NA,0.388431641518061
"10","perc_offset","perc_offset","10",10,162.241059938031,328.482119876063,328.845756239699,331.649157752975,NA,0.269996236647403,NA,NA,0.301023443806733,0.222222222222222,NA,NA,0.504115226337449
"11","perc_offset","perc_offset","10",11,147.652771370709,299.305542741417,299.669179105054,302.47258061833,NA,0.269996236647403,NA,NA,0.301023443806733,0.296296296296296,NA,NA,0.351851851851852
"12","perc_offset","perc_offset","10",12,168.182170549855,340.36434109971,340.727977463347,343.531378976623,NA,0.269996236647403,NA,NA,0.301023443806733,0.345679012345679,NA,NA,0.5
"13","perc_offset","perc_offset","10",13,174.109112353807,352.218224707615,352.581861071251,355.385262584527,NA,0.269996236647403,NA,NA,0.301023443806733,0.246913580225669,NA,NA,0.384773592859721
"14","perc_offset","perc_offset","10",14,174.241317831526,352.482635663052,352.846272026688,355.649673539964,NA,0.269996236647403,NA,NA,0.301023443806733,0.296296296296296,NA,NA,0.425925925925926
"15","perc_offset","perc_offset","10",15,164.203260643948,332.406521287897,332.770157651533,335.573559164809,NA,0.269996236647403,NA,NA,0.301023443806733,0.296296435106141,NA,NA,0.436899862825789
"16","perc_offset","perc_offset","10",16,169.815387300425,343.630774600849,343.994410964485,346.797812477761,NA,0.269996236647403,NA,NA,0.301023443806733,0.395061728395062,NA,NA,0.41358024691358
"17","perc_offset","perc_offset","10",17,157.556130529031,319.112261058063,319.475897421699,322.279298934975,NA,0.269996236647403,NA,NA,0.301023443806733,0.296296296296296,NA,NA,0.352004265060953
"18","perc_offset","perc_offset","10",18,157.64187731595,319.2837546319,319.647390995537,322.450792508813,NA,0.269996236647403,NA,NA,0.301023443806733,0.288065843621399,NA,NA,0.434156378600823
"19","perc_offset","perc_offset","10",19,162.41817296789,328.83634593578,329.199982299417,332.003383812693,NA,0.269996236647403,NA,NA,0.301023443806733,0.320987654320988,NA,NA,0.598765641173924
"20","perc_offset","perc_offset","10",20,162.418336289656,328.836672579313,329.200308942949,332.003710456225,NA,0.269996236647403,NA,NA,0.301023443806733,0.320983890968142,NA,NA,0.351851851851852
"21","perc_offset","perc_offset","10",21,154.76208925157,313.52417850314,313.887814866777,316.691216380053,NA,0.269996236647403,NA,NA,0.301023443806733,0.375857338820302,NA,NA,0.388888888602106
"22","perc_offset","perc_offset","10",22,162.834925409566,329.669850819132,330.033487182768,332.836888696044,NA,0.269996236647403,NA,NA,0.301023443806733,0.345679012345679,NA,NA,0.388888888888889
"23","perc_offset","perc_offset","10",23,167.894211000357,339.788422000713,340.152058364349,342.955459877625,NA,0.269996236647403,NA,NA,0.301023443806733,0.246913580246914,NA,NA,0.524691358024691
"24","perc_offset","perc_offset","10",24,154.052948627059,312.105897254118,312.469533617755,315.272935131031,NA,0.269996236647403,NA,NA,0.301023443806733,0.337448559670782,NA,NA,0.327160493827161
"25","perc_offset","perc_offset","10",25,143.082215340086,290.164430680172,290.528067043808,293.331468557084,NA,0.269996236647403,NA,NA,0.301023443806733,0.345679012345679,NA,NA,0.697530864197531
"26","perc_offset","perc_offset","10",26,155.013697170202,314.027394340404,314.39103070404,317.194432217316,NA,0.269996236647403,NA,NA,0.301023443806733,0.345679012345679,NA,NA,0.487654320987654
"27","perc_offset","perc_offset","10",27,169.796496908083,343.592993816166,343.956630179803,346.760031693079,NA,0.269996236647403,NA,NA,0.301023443806733,0.222222222222226,NA,NA,0.388888888888887
"28","perc_offset","perc_offset","10",28,167.242011292865,338.48402258573,338.847658949366,341.651060462642,NA,0.269996236647403,NA,NA,0.301023443806733,0.345679012154481,NA,NA,0.335390946502058
