"","model_sim","model_fit","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","perc_offset","perc_offset","83",1,124.95239880758,253.90479761516,254.268433978796,257.071835492072,NA,0.699996236647403,NA,NA,0.611023443806733,0.716049382716049,NA,NA,0.354595336076818
"2","perc_offset","perc_offset","83",2,123.715292929989,251.430585859977,251.794222223614,254.59762373689,NA,0.699996236647403,NA,NA,0.611023443806733,0.721537605616929,NA,NA,0.537037037037037
"3","perc_offset","perc_offset","83",3,123.764935343358,251.529870686716,251.893507050353,254.696908563629,NA,0.699996236647403,NA,NA,0.611023443806733,0.707818930041152,NA,NA,0.693415637860082
"4","perc_offset","perc_offset","83",4,128.258242925008,260.516485850016,260.880122213652,263.683523726928,NA,0.699996236647403,NA,NA,0.611023443806733,0.707818930041152,NA,NA,0.759259259259259
"5","perc_offset","perc_offset","83",5,123.158524504399,250.317049008798,250.680685372434,253.48408688571,NA,0.699996236647403,NA,NA,0.611023443806733,0.674897119405296,NA,NA,0.499999999968134
"6","perc_offset","perc_offset","83",6,120.468907745112,244.937815490225,245.301451853861,248.104853367137,NA,0.699996236647403,NA,NA,0.611023443806733,0.71604924333261,NA,NA,0.340877914951989
"7","perc_offset","perc_offset","83",7,122.740573006488,249.481146012976,249.844782376612,252.648183889888,NA,0.699996236647403,NA,NA,0.611023443806733,0.699588477366255,NA,NA,0.339506172839506
"8","perc_offset","perc_offset","83",8,122.633954801866,249.267909603732,249.631545967368,252.434947480644,NA,0.699996236647403,NA,NA,0.611023443806733,0.708733424782807,NA,NA,0.42135345221765
"9","perc_offset","perc_offset","83",9,121.674466320345,247.348932640689,247.712569004326,250.515970517601,NA,0.699996236647403,NA,NA,0.611023443806733,0.713305898491083,NA,NA,0.377000457247371
"10","perc_offset","perc_offset","83",10,122.710636583162,249.421273166324,249.78490952996,252.588311043236,NA,0.699996236647403,NA,NA,0.611023443806733,0.716045619363203,NA,NA,0.58641975308642
"11","perc_offset","perc_offset","83",11,123.888899669545,251.777799339089,252.141435702725,254.944837216001,NA,0.699996236647403,NA,NA,0.611023443806733,0.74063913021389,NA,NA,0.685185185174563
"12","perc_offset","perc_offset","83",12,122.606120747348,249.212241494696,249.575877858332,252.379279371608,NA,0.699996236647403,NA,NA,0.611023443806733,0.724279835390943,NA,NA,0.479423868312743
"13","perc_offset","perc_offset","83",13,122.83663112272,249.673262245441,250.036898609077,252.840300122353,NA,0.699996236647403,NA,NA,0.611023443806733,0.694101508916324,NA,NA,0.4519890260631
"14","perc_offset","perc_offset","83",14,120.539915969451,245.079831938903,245.443468302539,248.246869815815,NA,0.699996236647403,NA,NA,0.611023443806733,0.724279835390946,NA,NA,0.611111111111111
"15","perc_offset","perc_offset","83",15,122.59699449223,249.193988984459,249.557625348096,252.361026861372,NA,0.699996236647403,NA,NA,0.611023443806733,0.72153635116598,NA,NA,0.376543209876543
"16","perc_offset","perc_offset","83",16,121.483835123628,246.967670247255,247.331306610891,250.134708124167,NA,0.699996236647403,NA,NA,0.611023443806733,0.713305898491083,NA,NA,0.438728852309099
"17","perc_offset","perc_offset","83",17,121.477783469274,246.955566938549,247.319203302185,250.122604815461,NA,0.699996236647403,NA,NA,0.611023443806733,0.715168758150011,NA,NA,0.524674422936883
"18","perc_offset","perc_offset","83",18,121.475918448641,246.951836897282,247.315473260918,250.118874774194,NA,0.699996236647403,NA,NA,0.611023443806733,0.716049382716049,NA,NA,0.25445816186557
"19","perc_offset","perc_offset","83",19,123.79234909306,251.584698186119,251.948334549756,254.751736063031,NA,0.699996236647403,NA,NA,0.611023443806733,0.705075461303235,NA,NA,0.464334705075446
"20","perc_offset","perc_offset","83",20,123.743349760326,251.486699520653,251.850335884289,254.653737397565,NA,0.699996236647403,NA,NA,0.611023443806733,0.710562414266118,NA,NA,0.294238683127572
"21","perc_offset","perc_offset","83",21,126.011589134183,256.023178268366,256.386814632003,259.190216145278,NA,0.699996236647403,NA,NA,0.611023443806733,0.707818930041152,NA,NA,0.372427983539095
"22","perc_offset","perc_offset","83",22,124.833241491003,253.666482982005,254.030119345642,256.833520858917,NA,0.699996236647403,NA,NA,0.611023443806733,0.718792866941015,NA,NA,0.579561042524006
"23","perc_offset","perc_offset","83",23,118.889552563318,241.779105126637,242.142741490273,244.946143003549,NA,0.699996236647403,NA,NA,0.611023443806733,0.748971193415638,NA,NA,0.58641975308642
"24","perc_offset","perc_offset","83",24,125.003050191713,254.006100383427,254.369736747063,257.173138260339,NA,0.699996236647403,NA,NA,0.611023443806733,0.6986739826246,NA,NA,0.388888888888889
"25","perc_offset","perc_offset","83",25,119.348035909517,242.696071819033,243.05970818267,245.863109695945,NA,0.699996236647403,NA,NA,0.611023443806733,0.716049382716049,NA,NA,0.409465020576132
"26","perc_offset","perc_offset","83",26,120.492394780054,244.984789560108,245.348425923744,248.15182743702,NA,0.699996236647403,NA,NA,0.611023443806733,0.699588477366255,NA,NA,0.302469135802469
