"","sub","rr","alpha","model"
"1","1qs0vvu9krr584a","25",1.18393729010345e-16,"rw_base"
"2","1qs0vvu9krr584a","25",1.18393729010345e-16,"rw_base"
"3","1qs0vvu9krr584a","50",0.880819931382196,"rw_base"
"4","1qs0vvu9krr584a","50",0.880819931382196,"rw_base"
"5","1qs0vvu9krr584a","75",0.989900044966776,"rw_base"
"6","1qs0vvu9krr584a","75",0.989900044966776,"rw_base"
"7","1tq0jt4dd31u8lq","25",0.121425011933223,"rw_base"
"8","1tq0jt4dd31u8lq","25",0.121425011933223,"rw_base"
"9","1tq0jt4dd31u8lq","50",2.03413571821622e-09,"rw_base"
"10","1tq0jt4dd31u8lq","50",2.03413571821622e-09,"rw_base"
"11","1tq0jt4dd31u8lq","75",0.149700981612255,"rw_base"
"12","1tq0jt4dd31u8lq","75",0.149700981612255,"rw_base"
"13","22260uys7arz8j6","25",0.183155864273353,"rw_base"
"14","22260uys7arz8j6","25",0.183155864273353,"rw_base"
"15","22260uys7arz8j6","50",0.0202815974167254,"rw_base"
"16","22260uys7arz8j6","50",0.0202815974167254,"rw_base"
"17","22260uys7arz8j6","75",0.136430581243728,"rw_base"
"18","22260uys7arz8j6","75",0.136430581243728,"rw_base"
"19","2bqu5ktkg43fh3p","25",0.0502817029459506,"rw_base"
"20","2bqu5ktkg43fh3p","25",0.0502817029459506,"rw_base"
"21","2bqu5ktkg43fh3p","50",2.03413571821622e-09,"rw_base"
"22","2bqu5ktkg43fh3p","50",2.03413571821622e-09,"rw_base"
"23","2bqu5ktkg43fh3p","75",0.119022859299142,"rw_base"
"24","2bqu5ktkg43fh3p","75",0.119022859299142,"rw_base"
"25","2mzs709cn5dlwj2","25",0.200029047288758,"rw_base"
"26","2mzs709cn5dlwj2","25",0.200029047288758,"rw_base"
"27","2mzs709cn5dlwj2","50",6.36796005985813e-09,"rw_base"
"28","2mzs709cn5dlwj2","50",6.36796005985813e-09,"rw_base"
"29","2mzs709cn5dlwj2","75",0.128990895270427,"rw_base"
"30","2mzs709cn5dlwj2","75",0.128990895270427,"rw_base"
"31","2nzfnkk2uulwmkz","25",0.199457828619588,"rw_base"
