"","sub","rr","v0","alpha","model"
"1","1qs0vvu9krr584a","25",0.885001345403953,5.90146144053079e-13,"rw_base"
"2","1qs0vvu9krr584a","25",0.885001345403953,5.90146144053079e-13,"rw_base"
"3","1qs0vvu9krr584a","25",0.885001345403953,5.90146144053079e-13,"rw_base"
"4","1qs0vvu9krr584a","25",0.885001345403953,5.90146144053079e-13,"rw_base"
"5","1qs0vvu9krr584a","50",2.54026317126739e-05,0.880819931290138,"rw_base"
"6","1qs0vvu9krr584a","50",2.54026317126739e-05,0.880819931290138,"rw_base"
"7","1qs0vvu9krr584a","50",2.54026317126739e-05,0.880819931290138,"rw_base"
"8","1qs0vvu9krr584a","50",2.54026317126739e-05,0.880819931290138,"rw_base"
"9","1qs0vvu9krr584a","75",0.833333333333333,0.989900032957925,"rw_base"
"10","1qs0vvu9krr584a","75",0.833333333333333,0.989900032957925,"rw_base"
"11","1qs0vvu9krr584a","75",0.833333333333333,0.989900032957925,"rw_base"
"12","1qs0vvu9krr584a","75",0.833333333333333,0.989900032957925,"rw_base"
"13","1tq0jt4dd31u8lq","25",0.239999987742244,2.71019435486219e-08,"rw_base"
"14","1tq0jt4dd31u8lq","25",0.239999987742244,2.71019435486219e-08,"rw_base"
"15","1tq0jt4dd31u8lq","25",0.239999987742244,2.71019435486219e-08,"rw_base"
"16","1tq0jt4dd31u8lq","25",0.239999987742244,2.71019435486219e-08,"rw_base"
"17","1tq0jt4dd31u8lq","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"18","1tq0jt4dd31u8lq","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"19","1tq0jt4dd31u8lq","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"20","1tq0jt4dd31u8lq","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"21","1tq0jt4dd31u8lq","75",0.790000000490423,3.01137061878254e-09,"rw_base"
"22","1tq0jt4dd31u8lq","75",0.790000000490423,3.01137061878254e-09,"rw_base"
"23","1tq0jt4dd31u8lq","75",0.790000000490423,3.01137061878254e-09,"rw_base"
"24","1tq0jt4dd31u8lq","75",0.790000000490423,3.01137061878254e-09,"rw_base"
"25","22260uys7arz8j6","25",0.211169942795669,0.0409450582774934,"rw_base"
"26","22260uys7arz8j6","25",0.211169942795669,0.0409450582774934,"rw_base"
"27","22260uys7arz8j6","25",0.211169942795669,0.0409450582774934,"rw_base"
"28","22260uys7arz8j6","25",0.211169942795669,0.0409450582774934,"rw_base"
"29","22260uys7arz8j6","50",0.469533493202547,0.0254881782981798,"rw_base"
"30","22260uys7arz8j6","50",0.469533493202547,0.0254881782981798,"rw_base"
"31","22260uys7arz8j6","50",0.469533493202547,0.0254881782981798,"rw_base"
"32","22260uys7arz8j6","50",0.469533493202547,0.0254881782981798,"rw_base"
"33","22260uys7arz8j6","75",0.746809035784716,0.115539302739852,"rw_base"
"34","22260uys7arz8j6","75",0.746809035784716,0.115539302739852,"rw_base"
"35","22260uys7arz8j6","75",0.746809035784716,0.115539302739852,"rw_base"
"36","22260uys7arz8j6","75",0.746809035784716,0.115539302739852,"rw_base"
"37","2bqu5ktkg43fh3p","25",0.509231946008506,0.0528690094653203,"rw_base"
"38","2bqu5ktkg43fh3p","25",0.509231946008506,0.0528690094653203,"rw_base"
"39","2bqu5ktkg43fh3p","25",0.509231946008506,0.0528690094653203,"rw_base"
"40","2bqu5ktkg43fh3p","25",0.509231946008506,0.0528690094653203,"rw_base"
"41","2bqu5ktkg43fh3p","50",0.489999996274504,3.87176221602027e-09,"rw_base"
"42","2bqu5ktkg43fh3p","50",0.489999996274504,3.87176221602027e-09,"rw_base"
"43","2bqu5ktkg43fh3p","50",0.489999996274504,3.87176221602027e-09,"rw_base"
"44","2bqu5ktkg43fh3p","50",0.489999996274504,3.87176221602027e-09,"rw_base"
"45","2bqu5ktkg43fh3p","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"46","2bqu5ktkg43fh3p","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"47","2bqu5ktkg43fh3p","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"48","2bqu5ktkg43fh3p","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"49","2mzs709cn5dlwj2","25",0.484530578092373,0.198002279206594,"rw_base"
"50","2mzs709cn5dlwj2","25",0.484530578092373,0.198002279206594,"rw_base"
"51","2mzs709cn5dlwj2","25",0.484530578092373,0.198002279206594,"rw_base"
"52","2mzs709cn5dlwj2","25",0.484530578092373,0.198002279206594,"rw_base"
"53","2mzs709cn5dlwj2","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"54","2mzs709cn5dlwj2","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"55","2mzs709cn5dlwj2","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"56","2mzs709cn5dlwj2","50",0.489999997134896,1.29058742430707e-09,"rw_base"
"57","2mzs709cn5dlwj2","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"58","2mzs709cn5dlwj2","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"59","2mzs709cn5dlwj2","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"60","2mzs709cn5dlwj2","75",0.749999994192357,3.87176221602027e-09,"rw_base"
"61","2nzfnkk2uulwmkz","25",0.189999997153482,2.39695617944882e-15,"rw_base"
"62","2nzfnkk2uulwmkz","25",0.189999997153482,2.39695617944882e-15,"rw_base"
"63","2nzfnkk2uulwmkz","25",0.189999997153482,2.39695617944882e-15,"rw_base"
"64","2nzfnkk2uulwmkz","25",0.189999997153482,2.39695617944882e-15,"rw_base"
"65","2nzfnkk2uulwmkz","50",0.359999998318072,2.4569183491972e-15,"rw_base"
"66","2nzfnkk2uulwmkz","50",0.359999998318072,2.4569183491972e-15,"rw_base"
"67","2nzfnkk2uulwmkz","50",0.359999998318072,2.4569183491972e-15,"rw_base"
"68","2nzfnkk2uulwmkz","50",0.359999998318072,2.4569183491972e-15,"rw_base"
"69","2nzfnkk2uulwmkz","75",0.754999999731511,7.4937406080612e-15,"rw_base"
"70","2nzfnkk2uulwmkz","75",0.754999999731511,7.4937406080612e-15,"rw_base"
"71","2nzfnkk2uulwmkz","75",0.754999999731511,7.4937406080612e-15,"rw_base"
"72","2nzfnkk2uulwmkz","75",0.754999999731511,7.4937406080612e-15,"rw_base"
"73","2qu63bjtm9kxnnb","25",3.48458597165786e-08,0.805206157195952,"rw_base"
"74","2qu63bjtm9kxnnb","25",3.48458597165786e-08,0.805206157195952,"rw_base"
"75","2qu63bjtm9kxnnb","25",3.48458597165786e-08,0.805206157195952,"rw_base"
"76","2qu63bjtm9kxnnb","25",3.48458597165786e-08,0.805206157195952,"rw_base"
"77","2qu63bjtm9kxnnb","50",0.999999686387263,0.0156288907580208,"rw_base"
"78","2qu63bjtm9kxnnb","50",0.999999686387263,0.0156288907580208,"rw_base"
"79","2qu63bjtm9kxnnb","50",0.999999686387263,0.0156288907580208,"rw_base"
"80","2qu63bjtm9kxnnb","50",0.999999686387263,0.0156288907580208,"rw_base"
"81","2qu63bjtm9kxnnb","75",0.999999999999998,0.00696805009718916,"rw_base"
"82","2qu63bjtm9kxnnb","75",0.999999999999998,0.00696805009718916,"rw_base"
"83","2qu63bjtm9kxnnb","75",0.999999999999998,0.00696805009718916,"rw_base"
"84","2qu63bjtm9kxnnb","75",0.999999999999998,0.00696805009718916,"rw_base"
"85","2usnf1r3h88bett","25",0.200000001806822,4.30200504118581e-10,"rw_base"
"86","2usnf1r3h88bett","25",0.200000001806822,4.30200504118581e-10,"rw_base"
"87","2usnf1r3h88bett","25",0.200000001806822,4.30200504118581e-10,"rw_base"
"88","2usnf1r3h88bett","25",0.200000001806822,4.30200504118581e-10,"rw_base"
"89","2usnf1r3h88bett","50",0.509761164180452,0.106006823764037,"rw_base"
"90","2usnf1r3h88bett","50",0.509761164180452,0.106006823764037,"rw_base"
"91","2usnf1r3h88bett","50",0.509761164180452,0.106006823764037,"rw_base"
"92","2usnf1r3h88bett","50",0.509761164180452,0.106006823764037,"rw_base"
"93","2usnf1r3h88bett","75",5.31108769268261e-12,0.338915241571908,"rw_base"
"94","2usnf1r3h88bett","75",5.31108769268261e-12,0.338915241571908,"rw_base"
"95","2usnf1r3h88bett","75",5.31108769268261e-12,0.338915241571908,"rw_base"
"96","2usnf1r3h88bett","75",5.31108769268261e-12,0.338915241571908,"rw_base"
"97","34aswcgc3uv5ln0","25",0.999999999888468,0.593128709336565,"rw_base"
"98","34aswcgc3uv5ln0","25",0.999999999888468,0.593128709336565,"rw_base"
"99","34aswcgc3uv5ln0","25",0.999999999888468,0.593128709336565,"rw_base"
"100","34aswcgc3uv5ln0","25",0.999999999888468,0.593128709336565,"rw_base"
"101","34aswcgc3uv5ln0","50",0.339999992220518,1.18393729010345e-16,"rw_base"
"102","34aswcgc3uv5ln0","50",0.339999992220518,1.18393729010345e-16,"rw_base"
"103","34aswcgc3uv5ln0","50",0.339999992220518,1.18393729010345e-16,"rw_base"
"104","34aswcgc3uv5ln0","50",0.339999992220518,1.18393729010345e-16,"rw_base"
"105","34aswcgc3uv5ln0","75",0.64278153729758,0.0562131279338344,"rw_base"
"106","34aswcgc3uv5ln0","75",0.64278153729758,0.0562131279338344,"rw_base"
"107","34aswcgc3uv5ln0","75",0.64278153729758,0.0562131279338344,"rw_base"
"108","34aswcgc3uv5ln0","75",0.64278153729758,0.0562131279338344,"rw_base"
"109","35q8u5ekgfaq26g","25",0.254999996062978,6.55970830942423e-14,"rw_base"
"110","35q8u5ekgfaq26g","25",0.254999996062978,6.55970830942423e-14,"rw_base"
"111","35q8u5ekgfaq26g","25",0.254999996062978,6.55970830942423e-14,"rw_base"
"112","35q8u5ekgfaq26g","25",0.254999996062978,6.55970830942423e-14,"rw_base"
"113","35q8u5ekgfaq26g","50",0.895000063172117,6.55970830942423e-14,"rw_base"
"114","35q8u5ekgfaq26g","50",0.895000063172117,6.55970830942423e-14,"rw_base"
"115","35q8u5ekgfaq26g","50",0.895000063172117,6.55970830942423e-14,"rw_base"
"116","35q8u5ekgfaq26g","50",0.895000063172117,6.55970830942423e-14,"rw_base"
"117","35q8u5ekgfaq26g","75",0.990000001006644,4.6206218252259e-10,"rw_base"
"118","35q8u5ekgfaq26g","75",0.990000001006644,4.6206218252259e-10,"rw_base"
"119","35q8u5ekgfaq26g","75",0.990000001006644,4.6206218252259e-10,"rw_base"
"120","35q8u5ekgfaq26g","75",0.990000001006644,4.6206218252259e-10,"rw_base"
"121","3jrram86yd3uhgb","25",0.304520341204773,0.0422120124369571,"rw_base"
"122","3jrram86yd3uhgb","25",0.304520341204773,0.0422120124369571,"rw_base"
"123","3jrram86yd3uhgb","25",0.304520341204773,0.0422120124369571,"rw_base"
"124","3jrram86yd3uhgb","25",0.304520341204773,0.0422120124369571,"rw_base"
"125","3jrram86yd3uhgb","50",0.494999991482757,6.55970830942423e-14,"rw_base"
"126","3jrram86yd3uhgb","50",0.494999991482757,6.55970830942423e-14,"rw_base"
"127","3jrram86yd3uhgb","50",0.494999991482757,6.55970830942423e-14,"rw_base"
"128","3jrram86yd3uhgb","50",0.494999991482757,6.55970830942423e-14,"rw_base"
"129","3jrram86yd3uhgb","75",6.55970830942423e-14,0.135047982693943,"rw_base"
"130","3jrram86yd3uhgb","75",6.55970830942423e-14,0.135047982693943,"rw_base"
"131","3jrram86yd3uhgb","75",6.55970830942423e-14,0.135047982693943,"rw_base"
"132","3jrram86yd3uhgb","75",6.55970830942423e-14,0.135047982693943,"rw_base"
"133","3t9q259awsqqnjn","25",0.94518426850677,0.188037980871993,"rw_base"
"134","3t9q259awsqqnjn","25",0.94518426850677,0.188037980871993,"rw_base"
"135","3t9q259awsqqnjn","25",0.94518426850677,0.188037980871993,"rw_base"
"136","3t9q259awsqqnjn","25",0.94518426850677,0.188037980871993,"rw_base"
"137","3t9q259awsqqnjn","50",0.495280732300143,0.0395418077643087,"rw_base"
"138","3t9q259awsqqnjn","50",0.495280732300143,0.0395418077643087,"rw_base"
"139","3t9q259awsqqnjn","50",0.495280732300143,0.0395418077643087,"rw_base"
"140","3t9q259awsqqnjn","50",0.495280732300143,0.0395418077643087,"rw_base"
"141","3t9q259awsqqnjn","75",0.771462557132928,0.0575028746952342,"rw_base"
"142","3t9q259awsqqnjn","75",0.771462557132928,0.0575028746952342,"rw_base"
"143","3t9q259awsqqnjn","75",0.771462557132928,0.0575028746952342,"rw_base"
"144","3t9q259awsqqnjn","75",0.771462557132928,0.0575028746952342,"rw_base"
"145","4g3g9s2nj7eh7g9","25",0.241380515886965,0.0190211119716282,"rw_base"
"146","4g3g9s2nj7eh7g9","25",0.241380515886965,0.0190211119716282,"rw_base"
"147","4g3g9s2nj7eh7g9","25",0.241380515886965,0.0190211119716282,"rw_base"
"148","4g3g9s2nj7eh7g9","25",0.241380515886965,0.0190211119716282,"rw_base"
"149","4g3g9s2nj7eh7g9","50",0.469999997990301,8.37939765990916e-16,"rw_base"
"150","4g3g9s2nj7eh7g9","50",0.469999997990301,8.37939765990916e-16,"rw_base"
"151","4g3g9s2nj7eh7g9","50",0.469999997990301,8.37939765990916e-16,"rw_base"
"152","4g3g9s2nj7eh7g9","50",0.469999997990301,8.37939765990916e-16,"rw_base"
"153","4g3g9s2nj7eh7g9","75",0.999999999999993,0.0736670778766323,"rw_base"
"154","4g3g9s2nj7eh7g9","75",0.999999999999993,0.0736670778766323,"rw_base"
"155","4g3g9s2nj7eh7g9","75",0.999999999999993,0.0736670778766323,"rw_base"
"156","4g3g9s2nj7eh7g9","75",0.999999999999993,0.0736670778766323,"rw_base"
"157","4ns4fa2xqw95lgx","25",0.240000005428115,7.31332860497119e-09,"rw_base"
"158","4ns4fa2xqw95lgx","25",0.240000005428115,7.31332860497119e-09,"rw_base"
"159","4ns4fa2xqw95lgx","25",0.240000005428115,7.31332860497119e-09,"rw_base"
"160","4ns4fa2xqw95lgx","25",0.240000005428115,7.31332860497119e-09,"rw_base"
"161","4ns4fa2xqw95lgx","50",0.534161135677284,0.0314266819791102,"rw_base"
"162","4ns4fa2xqw95lgx","50",0.534161135677284,0.0314266819791102,"rw_base"
"163","4ns4fa2xqw95lgx","50",0.534161135677284,0.0314266819791102,"rw_base"
"164","4ns4fa2xqw95lgx","50",0.534161135677284,0.0314266819791102,"rw_base"
"165","4ns4fa2xqw95lgx","75",0.99999999999976,0.133834455618036,"rw_base"
"166","4ns4fa2xqw95lgx","75",0.99999999999976,0.133834455618036,"rw_base"
"167","4ns4fa2xqw95lgx","75",0.99999999999976,0.133834455618036,"rw_base"
"168","4ns4fa2xqw95lgx","75",0.99999999999976,0.133834455618036,"rw_base"
"169","4tcxev3874jk89a","25",0.359999999850743,6.58053256745773e-16,"rw_base"
"170","4tcxev3874jk89a","25",0.359999999850743,6.58053256745773e-16,"rw_base"
"171","4tcxev3874jk89a","25",0.359999999850743,6.58053256745773e-16,"rw_base"
"172","4tcxev3874jk89a","25",0.359999999850743,6.58053256745773e-16,"rw_base"
"173","4tcxev3874jk89a","50",1.37759929372634e-15,0.0555413200520297,"rw_base"
"174","4tcxev3874jk89a","50",1.37759929372634e-15,0.0555413200520297,"rw_base"
"175","4tcxev3874jk89a","50",1.37759929372634e-15,0.0555413200520297,"rw_base"
"176","4tcxev3874jk89a","50",1.37759929372634e-15,0.0555413200520297,"rw_base"
"177","4tcxev3874jk89a","75",0.999999999999995,0.0577233130335024,"rw_base"
"178","4tcxev3874jk89a","75",0.999999999999995,0.0577233130335024,"rw_base"
"179","4tcxev3874jk89a","75",0.999999999999995,0.0577233130335024,"rw_base"
"180","4tcxev3874jk89a","75",0.999999999999995,0.0577233130335024,"rw_base"
"181","57znvber9kc1tnj","25",0.800000062722547,3.87176221602027e-09,"rw_base"
"182","57znvber9kc1tnj","25",0.800000062722547,3.87176221602027e-09,"rw_base"
"183","57znvber9kc1tnj","25",0.800000062722547,3.87176221602027e-09,"rw_base"
"184","57znvber9kc1tnj","25",0.800000062722547,3.87176221602027e-09,"rw_base"
"185","57znvber9kc1tnj","50",0.690000016006152,4.732153813258e-09,"rw_base"
"186","57znvber9kc1tnj","50",0.690000016006152,4.732153813258e-09,"rw_base"
"187","57znvber9kc1tnj","50",0.690000016006152,4.732153813258e-09,"rw_base"
"188","57znvber9kc1tnj","50",0.690000016006152,4.732153813258e-09,"rw_base"
"189","57znvber9kc1tnj","75",0.999999999999803,0.0346260013768548,"rw_base"
"190","57znvber9kc1tnj","75",0.999999999999803,0.0346260013768548,"rw_base"
"191","57znvber9kc1tnj","75",0.999999999999803,0.0346260013768548,"rw_base"
"192","57znvber9kc1tnj","75",0.999999999999803,0.0346260013768548,"rw_base"
"193","5cp1qjka53bl73q","25",0.0788878053623789,0.00531142662410921,"rw_base"
"194","5cp1qjka53bl73q","25",0.0788878053623789,0.00531142662410921,"rw_base"
"195","5cp1qjka53bl73q","25",0.0788878053623789,0.00531142662410921,"rw_base"
"196","5cp1qjka53bl73q","25",0.0788878053623789,0.00531142662410921,"rw_base"
"197","5cp1qjka53bl73q","50",1.96734348333951e-13,0.381608391135329,"rw_base"
"198","5cp1qjka53bl73q","50",1.96734348333951e-13,0.381608391135329,"rw_base"
"199","5cp1qjka53bl73q","50",1.96734348333951e-13,0.381608391135329,"rw_base"
"200","5cp1qjka53bl73q","50",1.96734348333951e-13,0.381608391135329,"rw_base"
