"task","response","stimulus","mix","rr","pu","sub","lambda","omega","alpha","alpha_extinction","n","reward","logll","condition"
0,0.75,0,NA,"3",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,24,"0",NA,"3"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,1,"1",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,2,"0",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,3,"1",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,4,"0",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,5,"1",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,6,"0",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,7,"0",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,8,"1",NA,"4"
0,0,0,NA,"2",NA,"2bqu5ktkg43fh3p",NA,NA,NA,NA,9,"1",NA,"4"
