"","sub","rr","pu","lambda","omega","offset","model"
"60","35q8u5ekgfaq26g","75","low",5.26967133345532,0.388888888888889,-0.285618982649949,"value_alt"
"61","3jrram86yd3uhgb","25","high",1.81069958847729,0.5,-0.00265880878558855,"value_alt"
"62","3jrram86yd3uhgb","25","low",1.35802469135781,0.5,-0.0101779876772837,"value_alt"
"63","3jrram86yd3uhgb","50","high",3.33333333333331,0.5,-0.0781893004115176,"value_alt"
"64","3jrram86yd3uhgb","50","low",1.11111111111112,0.5,0.0123456790123457,"value_alt"
"65","3jrram86yd3uhgb","75","high",1.3841953253402,0.5,0.0417901517775352,"value_alt"
"66","3jrram86yd3uhgb","75","low",1.2937779858573,0.5,0.0850649460629249,"value_alt"
"67","3t9q259awsqqnjn","25","high",2.59259259259268,0.166666666666667,-0.0292205530804226,"value_alt"
"68","3t9q259awsqqnjn","25","low",5,0.5,0,"value_alt"
"69","3t9q259awsqqnjn","50","high",5.39730947218953,0.166666666666667,-0.0143993554593169,"value_alt"
"70","3t9q259awsqqnjn","50","low",2.04512174109615,0.166666666666667,-0.00556539486480268,"value_alt"
"71","3t9q259awsqqnjn","75","high",5.1577836702039,0.166666666666667,-0.057616090614115,"value_alt"
"72","3t9q259awsqqnjn","75","low",5,0.5,0,"value_alt"
"73","4g3g9s2nj7eh7g9","25","high",5,0.5,0,"value_alt"
"74","4g3g9s2nj7eh7g9","25","low",2.18106995884766,0.5,-0.0272806134509082,"value_alt"
"75","4g3g9s2nj7eh7g9","50","high",5,0.5,0,"value_alt"
"76","4g3g9s2nj7eh7g9","50","low",1.01712137375662,0.5,-0.00766525314941913,"value_alt"
"77","4g3g9s2nj7eh7g9","75","high",5,0.5,0,"value_alt"
"78","4g3g9s2nj7eh7g9","75","low",0.925323273270964,0.5,-0.00550041808429791,"value_alt"
"79","4ns4fa2xqw95lgx","25","high",6.66666666666819,0.166666666666667,0.0129516228949202,"value_alt"
"80","4ns4fa2xqw95lgx","25","low",5,0.5,0,"value_alt"
"81","4ns4fa2xqw95lgx","50","high",5.10288065843818,0.166666666666667,0.0422552567192771,"value_alt"
"82","4ns4fa2xqw95lgx","50","low",5,0.5,0,"value_alt"
"83","4ns4fa2xqw95lgx","75","high",5,0.5,0,"value_alt"
"84","4ns4fa2xqw95lgx","75","low",8.1755829903801,0.166666666666667,-0.0208997466396263,"value_alt"
"85","4tcxev3874jk89a","25","high",2.56832630156041,0.166666666666667,-0.0167993059691661,"value_alt"
"86","4tcxev3874jk89a","25","low",5,0.5,0,"value_alt"
"87","4tcxev3874jk89a","50","high",3.01630848957722,0.166666666666667,0.0126727370252668,"value_alt"
"88","4tcxev3874jk89a","50","low",2.13991769547522,0.166666666666667,-0.145185354310619,"value_alt"
"89","4tcxev3874jk89a","75","high",9.99999999999978,0.166666666666667,-0.354649219844247,"value_alt"
"90","4tcxev3874jk89a","75","low",0.630441605270908,0.166666666666667,0.28259866761977,"value_alt"
"91","57znvber9kc1tnj","25","high",1.72205381215326,0.5,-0.0370370370370191,"value_alt"
"92","57znvber9kc1tnj","25","low",0.941929583904626,0.5,-0.00411522633740913,"value_alt"
"93","57znvber9kc1tnj","50","high",1.29018003586007,0.5,-0.00411522633757966,"value_alt"
"94","57znvber9kc1tnj","50","low",1.12787684804167,0.5,0.0342935528120283,"value_alt"
"95","57znvber9kc1tnj","75","high",2.22222222222287,0.5,-0.194330132602132,"value_alt"
"96","57znvber9kc1tnj","75","low",0.674969653011476,0.5,0.0370370370370412,"value_alt"
"97","5cp1qjka53bl73q","25","high",0.919067215362856,0.5,-0.000990097392715938,"value_alt"
"98","5cp1qjka53bl73q","25","low",0.24691358026316,0.5,0.107487799903115,"value_alt"
"99","5cp1qjka53bl73q","50","high",0.5547934766245,0.5,0.0559365950029482,"value_alt"
"100","5cp1qjka53bl73q","50","low",5,0.5,0,"value_alt"
"101","5cp1qjka53bl73q","75","high",2.23593964334771,0.5,-0.135838848384451,"value_alt"
"102","5cp1qjka53bl73q","75","low",0.584768582027988,0.5,-0.0041152263374632,"value_alt"
"103","5jwar0bvwr53h40","25","high",5,0.5,0,"value_alt"
"104","5jwar0bvwr53h40","25","low",1.56378600823048,0.5,0.00224974608504747,"value_alt"
"105","5jwar0bvwr53h40","50","high",2.59259259259267,0.5,0.0116870922221162,"value_alt"
"106","5jwar0bvwr53h40","50","low",4.04266222223472,0.166666666666667,0.0835926310546782,"value_alt"
"107","5jwar0bvwr53h40","75","high",2.83950617283929,0.5,0.0699588477366686,"value_alt"
"108","5jwar0bvwr53h40","75","low",6.79012345679034,0.166666666666667,0.0113916225338537,"value_alt"
"109","5o4n9abwu4u5bb5","25","high",1.11111111111102,0.5,-0.00855221933549111,"value_alt"
"110","5o4n9abwu4u5bb5","25","low",0.745313214447052,0.5,-0.00299751053933794,"value_alt"
"111","5o4n9abwu4u5bb5","50","high",0.727023319615257,0.5,-0.000994151884277872,"value_alt"
"112","5o4n9abwu4u5bb5","50","low",2.18106995884747,0.5,-0.0370370370370363,"value_alt"
"113","5o4n9abwu4u5bb5","75","high",2.16565902893747,0.5,-0.0169181527203158,"value_alt"
"114","5o4n9abwu4u5bb5","75","low",5,0.5,0,"value_alt"
"115","5pgqs0v0feqyejp","25","high",1.48148148148146,0.5,0.0656255743905314,"value_alt"
