"","matrix...nrow...iter...K.","sub","iter","fold","offset_value_alt_offsetR2P1","omega_value_alt_offsetR2P1","lambda_value_alt_offsetR2P1","mae_value_alt_offsetR2P1","rmse_value_alt_offsetR2P1","spearman_value_alt_offsetR2P1","offset_value_alt_offsetR1P2","omega_value_alt_offsetR1P2","lambda_value_alt_offsetR1P2","mae_value_alt_offsetR1P2","rmse_value_alt_offsetR1P2","spearman_value_alt_offsetR1P2","offset_value_alt_offsetR3P2","omega_value_alt_offsetR3P2","lambda_value_alt_offsetR3P2","mae_value_alt_offsetR3P2","rmse_value_alt_offsetR3P2","spearman_value_alt_offsetR3P2","offset_value_alt_offsetR1P1","omega_value_alt_offsetR1P1","lambda_value_alt_offsetR1P1","mae_value_alt_offsetR1P1","rmse_value_alt_offsetR1P1","spearman_value_alt_offsetR1P1","offset_value_alt_offsetR3P1","omega_value_alt_offsetR3P1","lambda_value_alt_offsetR3P1","mae_value_alt_offsetR3P1","rmse_value_alt_offsetR3P1","spearman_value_alt_offsetR3P1","offset_value_alt_offsetR2P2","omega_value_alt_offsetR2P2","lambda_value_alt_offsetR2P2","mae_value_alt_offsetR2P2","rmse_value_alt_offsetR2P2","spearman_value_alt_offsetR2P2","rho_perc_estR2P1","mae_perc_estR2P1","rmse_perc_estR2P1","spearman_perc_estR2P1","rho_perc_estR1P2","mae_perc_estR1P2","rmse_perc_estR1P2","spearman_perc_estR1P2","rho_perc_estR3P2","mae_perc_estR3P2","rmse_perc_estR3P2","spearman_perc_estR3P2","rho_perc_estR1P1","mae_perc_estR1P1","rmse_perc_estR1P1","spearman_perc_estR1P1","rho_perc_estR3P1","mae_perc_estR3P1","rmse_perc_estR3P1","spearman_perc_estR3P1","rho_perc_estR2P2","mae_perc_estR2P2","rmse_perc_estR2P2","spearman_perc_estR2P2"
"1",NA,"2usnf1r3h88bett",1,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.47375,0.565055307027551,-0.190117275157343,0.5,0.32625,0.407630347251036,-0.412393049421161,0.885459533607682,0.71375,0.741813655846264,NA,0.934385002286237,0.10125,0.130719164624014,-0.422577127364258,0.5,0.7775,0.792385638436235,NA,0.98041457094955,0.27625,0.330208267613032,0.493939169953607
"2",NA,"2usnf1r3h88bett",2,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.47375,0.585053416364694,NA,0.5,0.34625,0.412507575688011,NA,0.911979881115684,0.6475,0.70283355070742,0.0829739813645022,0.962734339277549,0.07625,0.10994316713648,NA,0.5,0.695,0.749583217528248,0,0.989254686785551,0.40125,0.444733066007015,0.0633724250524478
"3",NA,"2usnf1r3h88bett",3,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.42375,0.547071750321656,0.248921944093507,0.5,0.32625,0.407630347251036,-0.412393049421161,0.932098135338652,0.6725,0.717791752529938,-0.165947962729004,0.936671239140375,0.07625,0.10994316713648,NA,0.5,0.6,0.667738721357388,0.128300059819917,0.878550017781842,0.43875,0.47067770289233,0.0829739813645022
"4",NA,"2usnf1r3h88bett",4,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.37375,0.508219932706304,0.253489700209791,0.5,0.34625,0.412507575688011,NA,0.890489254686786,0.7075,0.738224220680953,-0.580817869551516,0.980566986739826,0.09875,0.128792468723913,-0.258198889747161,0.5,0.7775,0.792385638436235,NA,0.803155006858711,0.50125,0.511407371867086,NA
"5",NA,"2usnf1r3h88bett",5,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.47375,0.585053416364694,-0.248921944093507,0.5,0.32125,0.392635326989307,0.247435829652697,0.954046639231824,0.58625,0.640341705654098,0.126744850104896,0.833327688590861,0.10125,0.130719164624014,-0.422577127364258,0.5,0.5,0.599895824289518,0.286887655274624,0.856500533455266,0.43875,0.469347951950363,0.248921944093507
"6",NA,"2usnf1r3h88bett",6,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.42375,0.527529620021473,-0.274410649974226,0.5,0.34625,0.412507575688011,NA,0.833790580704161,0.58,0.636180005973152,-0.283410100632568,0.934385002285843,0.10125,0.130719164624014,-0.422577127364258,0.5,0.695,0.749583217528248,0,0.894604481024234,0.43875,0.47067770289233,0.0829739813645022
"7",NA,"2usnf1r3h88bett",7,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.47375,0.585053416364694,NA,0.5,0.32625,0.407630347251036,-0.412393049421161,0.799039780521262,0.71375,0.741813655846264,NA,0.870426820663065,0.07625,0.10994316713648,NA,0.5,0.6775,0.71265349223869,0.50395263067897,0.785779606767261,0.33875,0.401917280046529,0
"8",NA,"2usnf1r3h88bett",8,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.42375,0.547071750321656,0.248921944093507,0.5,0.29625,0.333410407755967,0.755928946018455,0.985139460448102,0.65125,0.705097510986956,-0.443606975367135,0.948102423411065,0.07125,0.0979157801378307,0.387298334620742,0.5,0.7775,0.792385638436235,NA,0.95677318837956,0.50125,0.511407371867086,NA
"9",NA,"2usnf1r3h88bett",9,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.47375,0.585053416364694,NA,0.5,0.29625,0.379028363054798,0.251976315339485,0.609282121627801,0.54125,0.609743798656452,0.506979400419582,0.820987654320988,0.09375,0.124849909891838,-0.0577350269189626,0.5,0.6,0.692730106174115,-0.0641500299099584,0.958619112940101,0.43875,0.469347951950363,0.248921944093507
"10",NA,"2usnf1r3h88bett",10,1,0.0571255537682944,0.166666666666667,1.20481453195279,0.0602477905104108,0.0696457539849564,0.915729116152572,0.139884632344953,0.166666666666667,1.41045233929277,0.0743495541270908,0.0999335449963475,0.814385858101016,-0.02216202699929,0.166666666666667,4.86358788060897,0.0614378747623052,0.0767088771603682,0.975775496500587,0.00181318734003733,0.166666666666667,1.30226152894981,0.0758803798388516,0.101456499396612,0.958101009530607,0,0.5,5,0.120708232692012,0.1701563494353,-0.0617707763884251,0.00454024592461932,0.166666666666667,4.6049599215431,0.0653280493128633,0.0715016486029943,0.897590361445783,0.5,0.42375,0.55162260649832,-0.0829739813645022,0.5,0.29625,0.375049996667111,0.251976315339485,0.925240054869685,0.50125,0.566381055474139,0.633724250524478,0.954656302392928,0.10125,0.130719164624014,-0.422577127364258,0.5,0.6775,0.736121593216773,0.251976315339485,0.984834628867551,0.43875,0.47067770289233,0.0829739813645022
