"","matrix...nrow...iter...K.","sub","iter","fold","offset_value_alt_offsetR3P2","omega_value_alt_offsetR3P2","lambda_value_alt_offsetR3P2","mae_value_alt_offsetR3P2","rmse_value_alt_offsetR3P2","spearman_value_alt_offsetR3P2","offset_value_alt_offsetR2P1","omega_value_alt_offsetR2P1","lambda_value_alt_offsetR2P1","mae_value_alt_offsetR2P1","rmse_value_alt_offsetR2P1","spearman_value_alt_offsetR2P1","offset_value_alt_offsetR1P2","omega_value_alt_offsetR1P2","lambda_value_alt_offsetR1P2","mae_value_alt_offsetR1P2","rmse_value_alt_offsetR1P2","spearman_value_alt_offsetR1P2","offset_value_alt_offsetR3P1","omega_value_alt_offsetR3P1","lambda_value_alt_offsetR3P1","mae_value_alt_offsetR3P1","rmse_value_alt_offsetR3P1","spearman_value_alt_offsetR3P1","offset_value_alt_offsetR1P1","omega_value_alt_offsetR1P1","lambda_value_alt_offsetR1P1","mae_value_alt_offsetR1P1","rmse_value_alt_offsetR1P1","spearman_value_alt_offsetR1P1","offset_value_alt_offsetR2P2","omega_value_alt_offsetR2P2","lambda_value_alt_offsetR2P2","mae_value_alt_offsetR2P2","rmse_value_alt_offsetR2P2","spearman_value_alt_offsetR2P2","rho_perc_estR3P2","mae_perc_estR3P2","rmse_perc_estR3P2","spearman_perc_estR3P2","rho_perc_estR2P1","mae_perc_estR2P1","rmse_perc_estR2P1","spearman_perc_estR2P1","rho_perc_estR1P2","mae_perc_estR1P2","rmse_perc_estR1P2","spearman_perc_estR1P2","rho_perc_estR3P1","mae_perc_estR3P1","rmse_perc_estR3P1","spearman_perc_estR3P1","rho_perc_estR1P1","mae_perc_estR1P1","rmse_perc_estR1P1","spearman_perc_estR1P1","rho_perc_estR2P2","mae_perc_estR2P2","rmse_perc_estR2P2","spearman_perc_estR2P2"
"1",NA,"lqk83qqxe3xs6ss",1,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.240740740740741,0.6125,0.677200118133481,-0.0824786098842323,0.720850480109739,0.56,0.60518592184551,-0.577350269189626,0.971879286694101,0.445,0.481767578817836,-0.414869906822511,0.906035665294925,0.53,0.562538887544675,-0.577350269189626,0.5,0.29375,0.344546803787236,-0.251976315339485,0.965020576131687,0.3025,0.355808937493144,-0.327326835353989
"2",NA,"lqk83qqxe3xs6ss",2,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.388888888888758,0.4125,0.519013487300667,0.394405318873308,0.626047231332672,0.43625,0.486839295866716,0.50395263067897,0.47119341563786,0.47875,0.495239840885202,NA,0.959533607681756,0.54625,0.570712274267866,-0.755928946018455,0.5,0.33875,0.371903885432782,NA,0.876314586191129,0.3025,0.365376518128902,0
"3",NA,"lqk83qqxe3xs6ss",3,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.528349336991312,0.6125,0.677200118133481,-0.0824786098842323,0.600137174211248,0.55875,0.604679667261931,NA,0.820987654320988,0.47875,0.495239840885202,NA,0.808643856985065,0.45125,0.515618560565851,-0.763762615825973,0.5,0.33875,0.371903885432782,NA,0.973708276177412,0.3325,0.374699879903904,-0.394405318873308
"4",NA,"lqk83qqxe3xs6ss",4,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.314764009519523,0.59625,0.655162193658944,0.125988157669742,0.5435909160189,0.55875,0.604679667261931,NA,0.276406035665295,0.43,0.46634214907083,-0.0829739813645022,0.962277091906722,0.38125,0.475355130402523,0,0.5,0.33875,0.371903885432782,NA,0.782578875171468,0.355,0.397051633921836,NA
"5",NA,"lqk83qqxe3xs6ss",5,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.24195818538651,0.47875,0.571850067762521,0.629940788348712,0.583676268861454,0.55875,0.604679667261931,NA,0.846593507087334,0.40875,0.466864541382187,-0.506979400419582,0.848422504314169,0.43,0.500899191454728,0.247435829652697,0.5,0.32875,0.368120224926586,-0.412393049421161,0.964868160341411,0.2975,0.340954542424646,0.577350269189626
"6",NA,"lqk83qqxe3xs6ss",6,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.274881250537062,0.68875,0.724525706928333,NA,0.389346136259717,0.43625,0.475381425804585,0.755928946018455,0.683356195701875,0.40125,0.448762186464056,-0.380234550314687,0.891403749428441,0.48125,0.53727320796779,-0.50395263067897,0.5,0.32875,0.368120224926586,-0.412393049421161,0.826474622770919,0.355,0.397051633921836,NA
"7",NA,"lqk83qqxe3xs6ss",7,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.401234567901235,0.68875,0.724525706928333,NA,0.364349946654473,0.55875,0.604679667261931,NA,0.703017832647462,0.43,0.450388720995542,0.497843888187013,0.907864654778235,0.53,0.562538887544675,-0.577350269189626,0.5,0.26875,0.309212709958695,0.377964473009227,0.897805212620027,0.265,0.318276609256791,0.281718084909506
"8",NA,"lqk83qqxe3xs6ss",8,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.439186099679927,0.5875,0.660946291312691,0.247435829652697,0.317863130620332,0.43625,0.480507544165542,0.629940788348712,0.424559828842713,0.47875,0.495239840885202,NA,0.664609053497942,0.45875,0.516998549320982,-0.251976315339485,0.5,0.33875,0.371903885432782,-0.577350269189626,0.707133058984911,0.3325,0.38379682124791,-0.0824786098842323
"9",NA,"lqk83qqxe3xs6ss",9,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.5,0.61625,0.676396703126205,-0.125988157669742,0.488111568358482,0.4975,0.578273291792038,-0.0824786098842323,0.5960219478738,0.43,0.450388720995542,0.497843888187013,0.974622770919067,0.50125,0.547779608966964,NA,0.5,0.33875,0.371903885432782,NA,0.742798353909465,0.3325,0.38379682124791,-0.0824786098842323
"10",NA,"lqk83qqxe3xs6ss",10,1,0.00836405168795906,0.5,2.96296296296297,0.084876154475064,0.109559567388885,0.834748647438402,0.283950617283907,0.5,1.65675964029939,0.0834906757306676,0.0948242863946628,0.871575793648919,0.245747568169902,0.5,3.00411522633738,0.0664680190412739,0.0829760345154463,0.778984402464165,-0.0889289420656882,0.166666666666667,2.71604938271583,0.132054082743705,0.157642435198644,0.829515062006253,0.0596020992058397,0.166666666666667,4.03292181085892,0.112360041841692,0.123254270441828,0.574860605718364,0.0320598944884405,0.166666666666667,3.45792414969565,0.093070636470657,0.138475387107255,0.248489412152323,0.36556927297668,0.68875,0.724525706928333,NA,0.708504801097394,0.4975,0.541063767036751,0.577350269189626,0.662627648224356,0.47875,0.495239840885202,NA,0.893385154702027,0.53,0.562538887544675,-0.577350269189626,0.5,0.33875,0.371903885432782,NA,0.94200579180003,0.325,0.379275625370258,0.0824786098842323
