,subject,condition,pu,step
100,4g3g9s2nj7eh7g9,4.0,1.0,11.75
101,4g3g9s2nj7eh7g9,5.0,0.0,15.25
102,4gsluu13t1fssat,0.0,0.0,26.5
103,4gsluu13t1fssat,1.0,1.0,26.75
104,4gsluu13t1fssat,2.0,1.0,21.75
105,4gsluu13t1fssat,3.0,0.0,24.75
106,4gsluu13t1fssat,4.0,0.0,22.0
107,4gsluu13t1fssat,5.0,1.0,22.5
108,4ns4fa2xqw95lgx,0.0,1.0,18.25
109,4ns4fa2xqw95lgx,1.0,0.0,22.0
110,4ns4fa2xqw95lgx,2.0,1.0,13.5
111,4ns4fa2xqw95lgx,3.0,0.0,23.25
112,4ns4fa2xqw95lgx,4.0,0.0,20.5
113,4ns4fa2xqw95lgx,5.0,1.0,8.25
114,4tcxev3874jk89a,0.0,0.0,18.25
115,4tcxev3874jk89a,1.0,1.0,6.7
116,4tcxev3874jk89a,2.0,0.0,20.75
117,4tcxev3874jk89a,3.0,1.0,15.75
118,4tcxev3874jk89a,4.0,0.0,15.75
119,4tcxev3874jk89a,5.0,1.0,12.5
120,4vh1jqvk9uns533,0.0,0.0,32.0
121,4vh1jqvk9uns533,1.0,1.0,31.5
122,4vh1jqvk9uns533,2.0,0.0,28.5
123,4vh1jqvk9uns533,3.0,1.0,26.25
124,4vh1jqvk9uns533,4.0,0.0,25.0
125,4vh1jqvk9uns533,5.0,1.0,30.5
126,51jqmweysl4t2kf,0.0,0.0,36.25
127,51jqmweysl4t2kf,1.0,1.0,18.75
128,51jqmweysl4t2kf,2.0,1.0,21.5
129,51jqmweysl4t2kf,3.0,0.0,23.25
130,51jqmweysl4t2kf,4.0,0.0,24.25
131,51jqmweysl4t2kf,5.0,1.0,16.25
132,57znvber9kc1tnj,0.0,1.0,15.75
133,57znvber9kc1tnj,1.0,0.0,22.5
134,57znvber9kc1tnj,2.0,0.0,23.25
135,57znvber9kc1tnj,3.0,1.0,14.75
136,57znvber9kc1tnj,4.0,1.0,15.25
137,57znvber9kc1tnj,5.0,0.0,24.5
138,5cp1qjka53bl73q,0.0,0.0,26.5
