"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"46","2usnf1r3h88bett","value_alt_offset",2,2,0.166666666666667,4.50542884168421,0.00555555372459726,"value_alt_offset"
"47","2usnf1r3h88bett","value_alt_offset",3,1,0.166666666666667,4.21886907483025,0.00932819015612152,"value_alt_offset"
"48","2usnf1r3h88bett","value_alt_offset",3,2,0.166666666666667,4.56790123456797,0.00508405795612821,"value_alt_offset"
"49","34aswcgc3uv5ln0","value_alt_offset",1,1,0.166666666666667,0.752616084965674,0.102499999683806,"value_alt_offset"
"50","34aswcgc3uv5ln0","value_alt_offset",1,2,0.166666666666667,1.56104731724708,0.0686111191530965,"value_alt_offset"
"51","34aswcgc3uv5ln0","value_alt_offset",2,1,0.166666666666667,2.69415824571942,0.104722231167879,"value_alt_offset"
"52","34aswcgc3uv5ln0","value_alt_offset",2,2,0.166666666666667,1.94073911855842,0.0597222225556235,"value_alt_offset"
"53","34aswcgc3uv5ln0","value_alt_offset",3,1,0.166666666666667,3.33333333333326,-0.155000031585855,"value_alt_offset"
"54","34aswcgc3uv5ln0","value_alt_offset",3,2,0.166666666666667,4.13589003979257,-0.15583333338424,"value_alt_offset"
"55","35q8u5ekgfaq26g","value_alt_offset",1,1,0.166666666666667,5.08917180346573,0.175000025187964,"value_alt_offset"
"56","35q8u5ekgfaq26g","value_alt_offset",1,2,0.166666666666667,6.66666666666863,0.286388876729408,"perc_offset"
"57","35q8u5ekgfaq26g","value_alt_offset",2,1,0.5,4.44444444444437,-0.0807040384302812,"perc_offset"
"58","35q8u5ekgfaq26g","value_alt_offset",2,2,0.166666666666667,9.17356172232113,-0.375277781908374,"value_alt_offset"
"59","35q8u5ekgfaq26g","value_alt_offset",3,1,0.5,0.6273553720077,0.576182492507403,"value_alt_offset"
"60","35q8u5ekgfaq26g","value_alt_offset",3,2,0.5,3.20372346130025,-0.0772748056663267,"value_alt_offset"
"61","3jrram86yd3uhgb","value_alt_offset",1,1,0.5,1.97530864197533,-0.0629537174521898,"value_alt_offset"
"62","3jrram86yd3uhgb","value_alt_offset",1,2,0.5,1.97530864197528,-0.00770546494221358,"value_alt_offset"
"63","3jrram86yd3uhgb","value_alt_offset",2,1,0.5,1.78783721993779,-0.0821521109587101,"value_alt_offset"
"64","3jrram86yd3uhgb","value_alt_offset",2,2,0.5,3.33333333333321,-0.0731765144188722,"value_alt_offset"
"65","3jrram86yd3uhgb","value_alt_offset",3,1,0.5,1.30772748056325,0.0864197530864197,"value_alt_offset"
"66","3jrram86yd3uhgb","value_alt_offset",3,2,0.5,1.34583142813792,0.0498399634198172,"value_alt_offset"
"67","3t9q259awsqqnjn","value_alt_offset",1,1,0.166666666666667,3.33333333333355,-0.0363888857683579,"value_alt_offset"
"68","3t9q259awsqqnjn","value_alt_offset",1,2,0.166666666666667,2.705552067485,-0.0272222206210971,"value_alt_offset"
"69","3t9q259awsqqnjn","value_alt_offset",2,1,0.166666666666667,2.0390024987126,-0.0133333319273902,"value_alt_offset"
"70","3t9q259awsqqnjn","value_alt_offset",2,2,0.166666666666667,5.74367546191165,-0.02027777971581,"value_alt_offset"
"71","3t9q259awsqqnjn","value_alt_offset",3,1,0.166666666666667,3.78448407253221,-0.086397648765895,"value_alt_offset"
"72","3t9q259awsqqnjn","value_alt_offset",3,2,0.166666666666667,5.23694580592632,-0.0533333331291999,"value_alt_offset"
"73","4g3g9s2nj7eh7g9","value_alt_offset",1,1,0.5,2.18106995884577,-0.0281166362494371,"value_alt_offset"
"74","4g3g9s2nj7eh7g9","value_alt_offset",1,2,0.5,1.06995884773641,-0.0013717421123226,"value_alt_offset"
"75","4g3g9s2nj7eh7g9","value_alt_offset",2,1,0.5,1.06995884773597,-0.0123456790123406,"value_alt_offset"
"76","4g3g9s2nj7eh7g9","value_alt_offset",2,2,0.5,1.49689241139437,0.0122440684844027,"value_alt_offset"
"77","4g3g9s2nj7eh7g9","value_alt_offset",3,1,0.5,1.0425240054869,-0.0370370370370288,"value_alt_offset"
"78","4g3g9s2nj7eh7g9","value_alt_offset",3,2,0.166666666666667,3.12757201646069,-0.598680030089968,"value_alt_offset"
