"","sub","model","rr","pu","rho","offset","bestfit"
"61","3jrram86yd3uhgb","perc_offset",1,1,0.0564700502972108,0,"value_alt_offset"
"62","3jrram86yd3uhgb","perc_offset",1,2,0.265432098765432,-0.00274306607464947,"value_alt_offset"
"63","3jrram86yd3uhgb","perc_offset",2,1,0.178555098308185,0,"value_alt_offset"
"64","3jrram86yd3uhgb","perc_offset",2,2,0.265426453736163,0.296284866854319,"value_alt_offset"
"65","3jrram86yd3uhgb","perc_offset",3,1,0.203703703703704,0.296296296296296,"value_alt_offset"
"66","3jrram86yd3uhgb","perc_offset",3,2,0.0569272950974858,0.271604938271605,"value_alt_offset"
"67","3t9q259awsqqnjn","perc_offset",1,1,0.277777777777778,0.222222222222222,"value_alt_offset"
"68","3t9q259awsqqnjn","perc_offset",1,2,0.375171467477263,0.222222222223009,"value_alt_offset"
"69","3t9q259awsqqnjn","perc_offset",2,1,0.84156378600823,0.419753086419753,"value_alt_offset"
"70","3t9q259awsqqnjn","perc_offset",2,2,0.462962962962963,0.46639231824417,"value_alt_offset"
"71","3t9q259awsqqnjn","perc_offset",3,1,0.586419753089961,0.666666666666667,"value_alt_offset"
"72","3t9q259awsqqnjn","perc_offset",3,2,0.462957317933693,0.691358024670114,"value_alt_offset"
"73","4g3g9s2nj7eh7g9","perc_offset",1,1,0.170781869773542,0,"value_alt_offset"
"74","4g3g9s2nj7eh7g9","perc_offset",1,2,0.0432098765432099,0,"value_alt_offset"
"75","4g3g9s2nj7eh7g9","perc_offset",2,1,0.143347050754458,-0.00274348422496573,"value_alt_offset"
"76","4g3g9s2nj7eh7g9","perc_offset",2,2,0.0843621399176955,-1.72078318261271e-09,"value_alt_offset"
"77","4g3g9s2nj7eh7g9","perc_offset",3,1,0.0431590712797846,0.13443072702332,"value_alt_offset"
"78","4g3g9s2nj7eh7g9","perc_offset",3,2,0.808641975308642,0.246913580246914,"value_alt_offset"
"79","4ns4fa2xqw95lgx","perc_offset",1,1,0.462962962962963,0.320987654342232,"value_alt_offset"
"80","4ns4fa2xqw95lgx","perc_offset",1,2,0.462962955219439,0.223136717155076,"value_alt_offset"
"81","4ns4fa2xqw95lgx","perc_offset",2,1,0.57681755829904,0.518518518518518,"value_alt_offset"
"82","4ns4fa2xqw95lgx","perc_offset",2,2,0.364196903638723,0.518518503031469,"value_alt_offset"
"83","4ns4fa2xqw95lgx","perc_offset",3,1,0.541609510745313,0.737997256515775,"value_alt_offset"
"84","4ns4fa2xqw95lgx","perc_offset",3,2,0.343621399176955,0.60082304526749,"perc_offset"
"85","4tcxev3874jk89a","perc_offset",1,1,0.561728395061728,0.296296296296296,"value_alt_offset"
"86","4tcxev3874jk89a","perc_offset",1,2,0.364214465952006,0.44444444387085,"value_alt_offset"
"87","4tcxev3874jk89a","perc_offset",2,1,0.574074073787277,0.320987654320988,"value_alt_offset"
"88","4tcxev3874jk89a","perc_offset",2,2,0.467078189300412,0.395061728395062,"value_alt_offset"
"89","4tcxev3874jk89a","perc_offset",3,1,0.981481481481481,0.491083676268861,"value_alt_offset"
"90","4tcxev3874jk89a","perc_offset",3,2,0.486282578875171,0.469135802469136,"value_alt_offset"
"91","57znvber9kc1tnj","perc_offset",1,1,0.0884773662551441,0,"value_alt_offset"
"92","57znvber9kc1tnj","perc_offset",1,2,0.166666666666667,0.263374485596708,"value_alt_offset"
"93","57znvber9kc1tnj","perc_offset",2,1,0.0555555478120312,0.148148106849352,"value_alt_offset"
