"","sub","model","rr","pu","rho","omega","lambda","offset","bestfit"
"1","1qs0vvu9krr584a","full_offset",1,1,0.0308641975308642,0.907413052447299,0.665294924554184,-1.91198168408846e-10,"perc_offset"
"2","1qs0vvu9krr584a","full_offset",1,2,0.0185185185185185,0.833333333333333,0.185183085817886,-0.333333333333334,"perc_offset"
"3","1qs0vvu9krr584a","full_offset",2,1,0.00617283950617287,0.833333333333333,0.555555555555556,-0.333333333333334,"perc_offset"
"4","1qs0vvu9krr584a","full_offset",2,2,0.0542016081258195,0.500000007732757,0.541840213391854,-0.333333333333334,"perc_offset"
"5","1qs0vvu9krr584a","full_offset",3,1,0.0690753980747776,0.608367625703666,0.540313941144933,-0.333333333333344,"perc_offset"
"6","1qs0vvu9krr584a","full_offset",3,2,0.0555612006166914,0.537037037037037,0.555555555567358,0,"perc_offset"
"7","1tq0jt4dd31u8lq","full_offset",1,1,0.10082304526749,0.5,1.54320987654321,0.024691357451097,"value_alt_offset"
"8","1tq0jt4dd31u8lq","full_offset",1,2,0.0322359396433465,0.505486968449931,1.54320987654321,0.0246913580246915,"value_alt_offset"
"9","1tq0jt4dd31u8lq","full_offset",2,1,0.00617283950617287,0.5,1.37860082304527,0.00277735440058247,"value_alt_offset"
"10","1tq0jt4dd31u8lq","full_offset",2,2,0.0308641975308642,0.623456790123457,1.70781893004115,-0.00274348422496573,"value_alt_offset"
"11","1tq0jt4dd31u8lq","full_offset",3,1,0.0185185185185185,0.598765432098765,2.03703703703704,-0.0493827160493827,"value_alt_offset"
"12","1tq0jt4dd31u8lq","full_offset",3,2,0.0185185185185185,0.944444421213871,1.62398374082895,0.0246901035737428,"value_alt_offset"
"13","22260uys7arz8j6","full_offset",1,1,0.0308641975308642,0.327160493827161,1.33744855967078,0.0905349794238683,"value_alt_offset"
"14","22260uys7arz8j6","full_offset",1,2,0.0185185185173383,0.314814814814815,2.40740740740741,0.0164609053497944,"value_alt_offset"
"15","22260uys7arz8j6","full_offset",2,1,0.0185185882102379,0.253086419753086,1.54320987654321,-0.0246913580246914,"value_alt_offset"
"16","22260uys7arz8j6","full_offset",2,2,0.092592592624459,0.253086419753086,3.88888888888889,-0.0740740689117245,"value_alt_offset"
"17","22260uys7arz8j6","full_offset",3,1,0.0967078189300412,0.0596707818930041,2.03703703703704,0,"value_alt_offset"
"18","22260uys7arz8j6","full_offset",3,2,0.0925925925925926,0.0679012345679013,4.1358024691358,-0.0493714259908438,"value_alt_offset"
"19","2bqu5ktkg43fh3p","full_offset",1,1,0.0555555555236892,0.915637860082305,0.884773662551441,-0.016765736930346,"perc_offset"
"20","2bqu5ktkg43fh3p","full_offset",1,2,0.125514403292181,0.981481481481481,1.66666666666667,0,"value_alt_offset"
"21","2bqu5ktkg43fh3p","full_offset",2,1,0.0925925925925926,0.648148148148148,0.555555555555556,0,"perc_offset"
"22","2bqu5ktkg43fh3p","full_offset",2,2,0.685185185217052,0.166666666666667,3.88888888888889,-0.518518518518518,"value_alt_offset"
"23","2bqu5ktkg43fh3p","full_offset",3,1,0.611111111111111,0.0925925925925926,3.88888888888889,-0.592592592592593,"perc_offset"
"24","2bqu5ktkg43fh3p","full_offset",3,2,0.0555555555555556,0.759259259259259,1.28257887517147,-0.0246913580246914,"value_alt_offset"
"25","2mzs709cn5dlwj2","full_offset",1,1,0.611111111111111,0.277777777777778,9.81481481481481,0,"perc_offset"
"26","2mzs709cn5dlwj2","full_offset",1,2,0.495884773662537,0.812299954275263,9.48559670781893,0.0164274533244937,"perc_offset"
"27","2mzs709cn5dlwj2","full_offset",2,1,0.487648675958385,0.512345679012346,8.29235042083693,0.0246913580246915,"value_alt_offset"
"28","2mzs709cn5dlwj2","full_offset",2,2,0.940329218106996,0.820987654320988,9.69135802469136,0,"perc_offset"
"29","2mzs709cn5dlwj2","full_offset",3,1,0.686556935041192,0.944444444444444,9.44444444444444,0.0109739368998627,"perc_offset"
"30","2mzs709cn5dlwj2","full_offset",3,2,0.760631001371742,0.585031075886129,9.93827160493827,0.022049489488926,"perc_offset"
"31","2nzfnkk2uulwmkz","full_offset",1,1,0.129578824366204,0.5,1.17283950617284,0.0987654320987656,"perc_offset"
"32","2nzfnkk2uulwmkz","full_offset",1,2,0.0884773662551392,0.569958847736626,3.35390946502058,0.0493827160493823,"perc_offset"
"33","2nzfnkk2uulwmkz","full_offset",2,1,0.0926433978560179,0.907407407311808,1.25514403292312,0.17283950617284,"value_alt_offset"
"34","2nzfnkk2uulwmkz","full_offset",2,2,0.0925925925925926,0.611111111111111,1.6666666676228,0,"value_alt_offset"
"35","2nzfnkk2uulwmkz","full_offset",3,1,0.0185185185185185,0.98559670781893,2.28395688953869,-0.230452674897119,"value_alt_offset"
"36","2nzfnkk2uulwmkz","full_offset",3,2,0.0679012344723022,0.524691358024691,1.66666666666667,-7.86815057551848e-13,"value_alt_offset"
"37","2qu63bjtm9kxnnb","full_offset",1,1,0.01440329218107,0.796296296296296,2.28395061728395,0.0658436213991769,"value_alt_offset"
"38","2qu63bjtm9kxnnb","full_offset",1,2,0.0679012345679013,0.820987654320988,2.77777777777778,-0.0740740740740741,"value_alt_offset"
"39","2qu63bjtm9kxnnb","full_offset",2,1,0.0390946502057613,0.0432098765432099,1.54320987654321,0.0493827160493825,"value_alt_offset"
"40","2qu63bjtm9kxnnb","full_offset",2,2,0.0797896662094193,0.1419753163855,2.05075445805564,0,"value_alt_offset"
"41","2qu63bjtm9kxnnb","full_offset",3,1,0.0925925925925926,0.907407407407407,2.90123456790123,-0.0740740740740741,"value_alt_offset"
"42","2qu63bjtm9kxnnb","full_offset",3,2,0.0185185193789101,0.981481481481481,1.66666666666667,0.419753086419753,"value_alt_offset"
"43","2usnf1r3h88bett","full_offset",1,1,0.0596707818926107,0.286008230452675,1.21399176954733,0.0246913580246915,"value_alt_offset"
"44","2usnf1r3h88bett","full_offset",1,2,0.104938271604938,0.0925925925925926,1.17283950617284,0.139917695473251,"value_alt_offset"
"45","2usnf1r3h88bett","full_offset",2,1,0.0294924554183814,0.158436214278567,1.17283950617282,0.074074074074074,"value_alt_offset"
"46","2usnf1r3h88bett","full_offset",2,2,0.166666666666667,0.166666666666667,4.25942861013734,0,"value_alt_offset"
"47","2usnf1r3h88bett","full_offset",3,1,0.0308641975308642,0.117283950617284,4.25925925925926,0,"value_alt_offset"
"48","2usnf1r3h88bett","full_offset",3,2,0.092592592592591,0.12962962962963,4.50617283950617,0,"value_alt_offset"
"49","34aswcgc3uv5ln0","full_offset",1,1,0.0473251028806585,0.00617283950617287,0.802469135802469,0.107300716354214,"value_alt_offset"
"50","34aswcgc3uv5ln0","full_offset",1,2,0.0555555555555556,0.253086419753086,1.41975308641975,0.074074074074074,"value_alt_offset"
"51","34aswcgc3uv5ln0","full_offset",2,1,0.166666666666667,0.00617283950617287,2.77777777777778,0.0987654320987654,"value_alt_offset"
"52","34aswcgc3uv5ln0","full_offset",2,2,0.0267489711934157,0.109053497942387,1.95473251028807,0.0576131687242796,"value_alt_offset"
"53","34aswcgc3uv5ln0","full_offset",3,1,0.203703703703704,0.141975308641975,3.15272061325251,-0.148148148148148,"value_alt_offset"
"54","34aswcgc3uv5ln0","full_offset",3,2,0.166666666666667,0.3559670781893,4.1358024691358,-0.148148148148148,"value_alt_offset"
"55","35q8u5ekgfaq26g","full_offset",1,1,0.796296296296297,0.216049382716049,4.25927807602349,0.148148148148148,"value_alt_offset"
"56","35q8u5ekgfaq26g","full_offset",1,2,0.683813443072702,0.277777777777778,4.25925925925926,0.296296296296296,"perc_offset"
"57","35q8u5ekgfaq26g","full_offset",2,1,0.12962962962963,0.907407407407407,3.88888888888889,-0.0740740689117245,"perc_offset"
"58","35q8u5ekgfaq26g","full_offset",2,2,0.796296296296296,0.0926095276804011,6.48148148148148,-0.370370370370371,"value_alt_offset"
"59","35q8u5ekgfaq26g","full_offset",3,1,0.0308641975308642,0.881344307270233,0.642432556012803,0.584362139917695,"value_alt_offset"
"60","35q8u5ekgfaq26g","full_offset",3,2,0.12962962962963,0.5,2.77777777777778,0,"value_alt_offset"
"61","3jrram86yd3uhgb","full_offset",1,1,0.0925925925925926,0.61522633744856,1.2962962962963,0,"value_alt_offset"
