"nrow","nlevels","successes","trials","mean","lower","upper"
648,3,21,500,0.042,0.0261835767761471,0.0634869405329189
4104,19,59,500,0.118,0.0910516771727868,0.149560396315727
7776,36,143,500,0.286,0.246756862723757,0.327795042143487
11232,52,208,500,0.416,0.37240487617132,0.460594188334072
14688,68,243,500,0.486,0.441385888677125,0.530780555473831
18360,85,412,500,0.824,0.787732429653234,0.856381405077339
21816,101,422,500,0.844,0.809173886328844,0.874692566715228
25272,117,421,500,0.842,0.807022042968581,0.872869258063718
28944,134,424,500,0.848,0.813483018335747,0.878333656118624
32400,150,445,500,0.89,0.859234155226856,0.916050944593145
