"","model","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","full_offset","90",1,118.213387517587,244.426775035175,245.71709761582,250.760850788999,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.839506171118723,0.187248443383179,0.432098765432099,0.179012345679012
"2","full_offset","90",2,118.258714199109,244.517428398217,245.807750978862,250.851504152042,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.815119646395367,0.302469135802469,0.4366734073272,0.277777150552303
"3","full_offset","90",3,119.232170803248,246.464341606497,247.754664187142,252.798417360321,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.839506172839506,0.216049382716049,0.212620027434843,0.38477366255144
"4","full_offset","90",4,119.353192236963,246.706384473926,247.996707054571,253.040460227751,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.838591678097851,0.0432098765432099,0.43057460752934,0.228395061728395
"5","full_offset","90",5,118.318855386168,244.637710772335,245.92803335298,250.97178652616,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.814814814814815,0.235253772301431,0.473251028806585,0.314814814814815
"6","full_offset","90",6,118.058921027745,244.117842055489,245.408164636135,250.451917809314,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.888787278362038,0.550737523074057,0.185185185185185,0.504115226337449
"7","full_offset","90",7,118.442077182703,244.884154365405,246.17447694605,251.21823011923,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.889803383630544,0.734567901234568,0.185185185185185,0.944444444444444
"8","full_offset","90",8,118.221096239146,244.442192478292,245.732515058938,250.776268232117,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.839506172839506,0.203703703703704,0.18518518518912,0.290123456790123
"9","full_offset","90",9,118.898236336166,245.796472672331,247.086795252976,252.130548426155,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.839506172839506,0.0637859849998796,0.390946502057597,0.240740717510168
"10","full_offset","90",10,117.967415730494,243.934831460988,245.225154041633,250.268907214812,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.814814814814815,0.104785855815056,0.432098765432099,0.244855967078189
"11","full_offset","90",11,119.642118935468,247.284237870935,248.574560451581,253.61831362476,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.888888894051238,0.722222222222222,0.349794238683128,0.504115226337449
"12","full_offset","90",12,118.614170036377,245.228340072753,246.518662653398,251.562415826578,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.839506172839506,0.20368732614965,0.308641975308642,0.228395061441603
"13","full_offset","90",13,118.620174910945,245.240349821889,246.530672402534,251.574425575714,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.814814814814815,0.303840877914952,0.432098765432099,0.191341159295269
"14","full_offset","90",14,118.282690665285,244.565381330571,245.855703911216,250.899457084395,NA,0.131777776344618,0,5.9389936613097,0.471023443806733,0.839506172839506,0.141975308641975,0.432098765432099,0.425925925925926
