"","model","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","full_offset","101",1,116.240570307152,240.481140614304,241.771463194949,246.815216368128,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.0555555323249825,7.09876543209876,0.180384087791495
"2","full_offset","101",2,116.258453137531,240.516906275061,241.807228855706,246.850982028886,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.0555555555555556,7.09876544070268,0.166615861403241
"3","full_offset","101",3,116.272674204807,240.545348409614,241.83567099026,246.879424163439,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.318930041152263,8.20987654320987,0.401234567901235
"4","full_offset","101",4,116.270729868967,240.541459737934,241.831782318579,246.875535491759,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.0390946502057613,7.04406509847753,0.179012345679012
"5","full_offset","101",5,116.277799995742,240.555599991485,241.84592257213,246.889675745309,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246925,0.0967078189300412,6.85185185185185,0.277777778638169
"6","full_offset","101",6,116.250487972121,240.500975944242,241.791298524888,246.835051698067,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.0430573910612147,6.72839506172839,0.166666666666536
"7","full_offset","101",7,116.270078677012,240.540157354024,241.830479934669,246.874233107848,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.166209349635986,7.38683127572016,0.12962962962963
"8","full_offset","101",8,116.247470783402,240.494941566804,241.785264147449,246.829017320628,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0164609053497943,0.162551440329218,8.29218106995885,0.166666666666667
"9","full_offset","101",9,116.305386001054,240.610772002108,241.901094582753,246.944847755933,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.155692729766804,8.33333333333333,0.501371742112483
"10","full_offset","101",10,116.245812811297,240.491625622593,241.781948203238,246.825701376417,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0219478737997256,0.0185185185185185,7.94924554183813,0.117283950617284
"11","full_offset","101",11,116.261220546186,240.522441092372,241.812763673018,246.856516846197,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246917,0.166666666666667,6.23456792704632,0.487197073616827
"12","full_offset","101",12,116.247194246454,240.494388492908,241.784711073553,246.828464246732,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.166666666666798,7.22273027485647,0.154320987654321
"13","full_offset","101",13,116.274976417603,240.549952835206,241.840275415851,246.88402858903,NA,-0.0182222236553823,0,5.1389936613097,0.681023443806733,-0.0246913580246914,0.0432098765432099,8.22359393852295,0.179012345679012
