"","model","sub","iter","ll","AIC","AICc","BIC","k","offsetIN","omegaIN","lambdaIN","rhoIN","offsetOUT","omegaOUT","lambdaOUT","rhoOUT"
"1","full_offset","83",1,117.228437547309,242.456875094618,243.747197675263,248.790950848442,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.317558299039781,8.68998628257888,0.574074074074069
"2","full_offset","83",2,117.227992528982,242.455985057965,243.74630763861,248.790060811789,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.351851851851852,6.97530864197531,0.425925949156499
"3","full_offset","83",3,117.502463902993,243.004927805986,244.295250386631,249.33900355981,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.327160493827161,7.22222222222222,0.648148148148148
"4","full_offset","83",4,117.089770759078,242.179541518155,243.4698640988,248.51361727198,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0576131687242796,0.0390946502057613,7.46913580246913,0.425925925925926
"5","full_offset","83",5,117.014949020656,242.029898041313,243.320220621958,248.363973795137,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.049077884490075,0.150205761316872,8.44307270233196,0.389041304679165
"6","full_offset","83",6,117.084515355141,242.169030710282,243.459353290927,248.503106464107,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0576131687455239,0.277777777777778,7.59261140935682,0.179012345679012
"7","full_offset","83",7,116.942946443567,241.885892887133,243.176215467778,248.219968640958,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0502972107910378,0.236625514403292,7.22222222222222,0.114083219021491
"8","full_offset","83",8,116.966791914598,241.933583829195,243.223906409841,248.26765958302,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.0679012345679013,7.83950617283951,0.187242798353909
"9","full_offset","83",9,117.013764690213,242.027529380425,243.31785196107,248.36160513425,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0576131687242796,0.166666666666667,7.46913580246913,0.471193415637846
"10","full_offset","83",10,117.019549452478,242.039098904956,243.329421485601,248.373174658781,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.327160493827161,8.08641976169034,0.248971193415638
"11","full_offset","83",11,117.324399082758,242.648798165516,243.939120746162,248.982873919341,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.425925925925926,6.97531073272689,0.425927807602349
"12","full_offset","83",12,117.084459539986,242.168919079972,243.459241660617,248.502994833796,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0484682213077272,0.207818930041152,8.29218106995885,0.351699436061576
"13","full_offset","83",13,116.956619347764,241.913238695527,243.203561276172,248.247314449352,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.166666666666667,7.83950617283951,0.179012345679012
"14","full_offset","83",14,116.938217289848,241.876434579695,243.16675716034,248.210510333519,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.232510288065844,7.13991769547325,0.166209419295839
"15","full_offset","83",15,116.993517612985,241.98703522597,243.277357806615,248.321110979795,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.327160493827161,7.96296319526869,0.41358024691358
"16","full_offset","83",16,117.055154716466,242.110309432931,243.400632013577,248.444385186756,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.314814814814815,8.25102880658436,0.41358024691358
"17","full_offset","83",17,117.187555676798,242.375111353597,243.665433934242,248.709187107421,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.360082304526749,6.97530864197531,0.277777777777778
"18","full_offset","83",18,117.04685850775,242.093717015499,243.384039596144,248.427792769324,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.302469135802469,7.22222222222222,0.302621551592745
"19","full_offset","83",19,116.986981982459,241.973963964919,243.264286545564,248.308039718743,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.290123456790123,8.20987654320987,0.166666666666667
"20","full_offset","83",20,117.160495043513,242.320990087026,243.611312667671,248.65506584085,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0502972107910378,0.203703703703704,7.35025148605395,0.170781893004115
"21","full_offset","83",21,117.195051576837,242.390103153673,243.680425734319,248.724178907498,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.154778235025149,8.34705075445816,0.536579789666209
"22","full_offset","83",22,117.260106933629,242.520213867258,243.810536447903,248.854289621082,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.191358024691358,7.82580756847891,0.499949194736575
"23","full_offset","83",23,116.970880952078,241.941761904156,243.232084484801,248.27583765798,NA,0.0517777763446177,0,5.2389936613097,0.711023443806733,0.0493827160493825,0.166666666666667,7.59259259259259,0.0679012345679013
