"","sub","model","rr","pu","rho","omega","lambda","offset","bestfit"
"37","2qu63bjtm9kxnnb","full_offset",1,1,0.12962962962963,0.833333333333333,2.77777777777778,0,"value_alt_offset"
"38","2qu63bjtm9kxnnb","full_offset",1,2,0.0555555555555556,0.726337448559671,2.40740740740741,-0.00853528425544881,"value_alt_offset"
"39","2qu63bjtm9kxnnb","full_offset",2,1,0.01440329218107,0.281893004115226,1.58436213990589,0.0411522633744854,"value_alt_offset"
"40","2qu63bjtm9kxnnb","full_offset",2,2,0.0925925925925926,0.203703703703704,1.66666666666667,0.074074074074074,"value_alt_offset"
"41","2qu63bjtm9kxnnb","full_offset",3,1,0.051440329218107,0.757430269775949,2.77777777777778,-0.0493827160493827,"value_alt_offset"
"42","2qu63bjtm9kxnnb","full_offset",3,2,0.0185185185185185,0.5,1.62551440329218,0.419753086419753,"value_alt_offset"
"43","2usnf1r3h88bett","full_offset",1,1,0.0226337448559622,0.0884773662551441,1.13168724375434,0.0164609053497944,"value_alt_offset"
"44","2usnf1r3h88bett","full_offset",1,2,0.12962962962963,0.216049382716049,1.2962962962963,0.148148148148148,"value_alt_offset"
"45","2usnf1r3h88bett","full_offset",2,1,0.0555555555555556,0.240740740740741,1.17283880925565,0.0768175582990396,"value_alt_offset"
"46","2usnf1r3h88bett","full_offset",2,2,0.0925925925925926,0.166666666666667,4.62810547172687,0,"value_alt_offset"
"47","2usnf1r3h88bett","full_offset",3,1,0.0432098765432099,0.0432098765432099,4.25926135001084,0,"value_alt_offset"
"48","2usnf1r3h88bett","full_offset",3,2,0.12962962962963,0.166666666666667,4.62962963823355,0,"value_alt_offset"
"49","34aswcgc3uv5ln0","full_offset",1,1,0.154320987654321,0.314814814814815,0.679012345679013,0.106995884773663,"value_alt_offset"
"50","34aswcgc3uv5ln0","full_offset",1,2,0.0679012345679013,0.0596707818930041,1.54320987654321,0.0658436213991769,"value_alt_offset"
"51","34aswcgc3uv5ln0","full_offset",2,1,0.216049382716049,0.277777777777778,2.53086419753086,0.0987655714822042,"value_alt_offset"
"52","34aswcgc3uv5ln0","full_offset",2,2,0.0144032921810694,0.00205761316872431,1.87242798353909,0.0576131687242796,"value_alt_offset"
"53","34aswcgc3uv5ln0","full_offset",3,1,0.0925925925925926,0.314967230605091,3.1481481481481,-0.148148148148148,"value_alt_offset"
"54","34aswcgc3uv5ln0","full_offset",3,2,0.166666666666667,0.0185185185185185,3.88888888888889,-0.148148148148148,"value_alt_offset"
"55","35q8u5ekgfaq26g","full_offset",1,1,0.500016935087808,0.303840877914952,3.88888888888889,0.172805635997223,"perc_offset"
"56","35q8u5ekgfaq26g","full_offset",1,2,0.574074074074074,0.0555555555555556,4.62962962962963,0.295381801554641,"value_alt_offset"
"57","35q8u5ekgfaq26g","full_offset",2,1,0.216049591791208,0.870370370274771,4.25925716850768,-0.0493827160493827,"perc_offset"
"58","35q8u5ekgfaq26g","full_offset",2,2,0.648148148148148,0.549382716049383,5.37037037037037,-0.296296296296296,"value_alt_offset"
"59","35q8u5ekgfaq26g","full_offset",3,1,0.0185185185185185,0.672839506172839,0.679012345679013,0.592592592592593,"value_alt_offset"
"60","35q8u5ekgfaq26g","full_offset",3,2,0.166666666666667,0.95679012345679,2.73662551440329,0,"value_alt_offset"
"61","3jrram86yd3uhgb","full_offset",1,1,0.051440329218107,0.767489711934156,1.2962962962963,0.00823045267489708,"value_alt_offset"
"62","3jrram86yd3uhgb","full_offset",1,2,0.0349794238683128,0.656378600823045,2.03703703703704,-0.0164609053497943,"value_alt_offset"
"63","3jrram86yd3uhgb","full_offset",2,1,0.0925925925925926,0.932098765432099,1.2962962962963,0,"value_alt_offset"
"64","3jrram86yd3uhgb","full_offset",2,2,0.0679012345679013,0.623451145094187,2.77777777777778,-0.0274348422496571,"value_alt_offset"
"65","3jrram86yd3uhgb","full_offset",3,1,0.018518518518518,0.969135802469136,1.41975308641975,0.074074074074074,"value_alt_offset"
"66","3jrram86yd3uhgb","full_offset",3,2,0.0185185185185185,0.722222152530503,1.28258166284024,0.0740739346906352,"value_alt_offset"
"67","3t9q259awsqqnjn","full_offset",1,1,0.0185185182317213,0.162551440329218,3.40877914951945,-0.0356652949245542,"value_alt_offset"
"68","3t9q259awsqqnjn","full_offset",1,2,0.0761316872427984,0.31893004115222,2.65432098765432,-0.0246913580246914,"value_alt_offset"
"69","3t9q259awsqqnjn","full_offset",2,1,0.01440329218107,0.055555554695164,2.06447187928669,-0.00823045267489708,"value_alt_offset"
"70","3t9q259awsqqnjn","full_offset",2,2,0.0226337448559671,0.191358024691358,5.69958847736626,-0.0246913580246914,"value_alt_offset"
"71","3t9q259awsqqnjn","full_offset",3,1,0.00617283950617287,0.388888888888889,3.97119341563786,-0.0987654320987654,"value_alt_offset"
"72","3t9q259awsqqnjn","full_offset",3,2,0.0473251028806585,0.0679012345679013,5.2880658436214,-0.0493827160493827,"value_alt_offset"
"73","4g3g9s2nj7eh7g9","full_offset",1,1,0.0541838134430727,0.792181069958848,2.16506630086877,-0.0246913580459356,"value_alt_offset"
"74","4g3g9s2nj7eh7g9","full_offset",1,2,0.01440329218107,0.833333333333333,1.15912208504801,-0.0164609053497943,"perc_offset"
"75","4g3g9s2nj7eh7g9","full_offset",2,1,0.02400548696845,0.537037037037037,1.04938271604938,-0.0109739368998628,"value_alt_offset"
"76","4g3g9s2nj7eh7g9","full_offset",2,2,0.0185185185185185,0.660493827160494,1.50205761316872,0.00823045267489708,"value_alt_offset"
"77","4g3g9s2nj7eh7g9","full_offset",3,1,0.0308641975308642,0.524691358024691,1.29629629629644,-0.123151958542905,"value_alt_offset"
"78","4g3g9s2nj7eh7g9","full_offset",3,2,0.0555047502921303,0.0925925925961333,3.14306762180562,-0.592592592592593,"value_alt_offset"
