"","sub","model","ou","pu","iter","rho","omega","lambda","offset","ll","AIC","AICc","BIC","k"
"1","dvywvnh6comawyk","value_sig",1,1,1,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"2","dvywvnh6comawyk","value_sig",1,1,2,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"3","dvywvnh6comawyk","value_sig",1,1,3,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"4","dvywvnh6comawyk","value_sig",1,1,4,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"5","dvywvnh6comawyk","value_sig",1,1,5,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"6","dvywvnh6comawyk","value_sig",1,1,6,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"7","dvywvnh6comawyk","value_sig",1,1,7,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"8","dvywvnh6comawyk","value_sig",1,1,8,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"9","dvywvnh6comawyk","value_sig",1,1,9,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"10","dvywvnh6comawyk","value_sig",1,1,10,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"11","dvywvnh6comawyk","value_sig",1,1,11,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"12","dvywvnh6comawyk","value_sig",1,1,12,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"13","dvywvnh6comawyk","value_sig",1,1,13,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"14","dvywvnh6comawyk","value_sig",1,1,14,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"15","dvywvnh6comawyk","value_sig",1,1,15,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"16","dvywvnh6comawyk","value_sig",1,1,16,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"17","dvywvnh6comawyk","value_sig",1,1,17,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"18","dvywvnh6comawyk","value_sig",1,1,18,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"19","dvywvnh6comawyk","value_sig",1,1,19,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"20","dvywvnh6comawyk","value_sig",1,1,20,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"21","dvywvnh6comawyk","value_sig",1,1,21,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"22","dvywvnh6comawyk","value_sig",1,1,22,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"23","dvywvnh6comawyk","value_sig",1,1,23,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"24","dvywvnh6comawyk","value_sig",1,1,24,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"25","dvywvnh6comawyk","value_sig",1,1,25,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"26","dvywvnh6comawyk","value_sig",1,1,26,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"27","dvywvnh6comawyk","value_sig",1,1,27,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"28","dvywvnh6comawyk","value_sig",1,1,28,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"29","dvywvnh6comawyk","value_sig",1,1,29,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"30","dvywvnh6comawyk","value_sig",1,1,30,NA,0.5,2.01646090534987,0.139752791791871,122.784056773283,253.568113546566,254.858436127211,259.902189300391,5.65432098765453
"31","dvywvnh6comawyk","value_sig",3,2,1,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"32","dvywvnh6comawyk","value_sig",3,2,2,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"33","dvywvnh6comawyk","value_sig",3,2,3,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"34","dvywvnh6comawyk","value_sig",3,2,4,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"35","dvywvnh6comawyk","value_sig",3,2,5,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"36","dvywvnh6comawyk","value_sig",3,2,6,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"37","dvywvnh6comawyk","value_sig",3,2,7,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"38","dvywvnh6comawyk","value_sig",3,2,8,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"39","dvywvnh6comawyk","value_sig",3,2,9,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"40","dvywvnh6comawyk","value_sig",3,2,10,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"41","dvywvnh6comawyk","value_sig",3,2,11,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"42","dvywvnh6comawyk","value_sig",3,2,12,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"43","dvywvnh6comawyk","value_sig",3,2,13,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"44","dvywvnh6comawyk","value_sig",3,2,14,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"45","dvywvnh6comawyk","value_sig",3,2,15,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"46","dvywvnh6comawyk","value_sig",3,2,16,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"47","dvywvnh6comawyk","value_sig",3,2,17,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"48","dvywvnh6comawyk","value_sig",3,2,18,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"49","dvywvnh6comawyk","value_sig",3,2,19,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"50","dvywvnh6comawyk","value_sig",3,2,20,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"51","dvywvnh6comawyk","value_sig",3,2,21,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"52","dvywvnh6comawyk","value_sig",3,2,22,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"53","dvywvnh6comawyk","value_sig",3,2,23,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"54","dvywvnh6comawyk","value_sig",3,2,24,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"55","dvywvnh6comawyk","value_sig",3,2,25,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"56","dvywvnh6comawyk","value_sig",3,2,26,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"57","dvywvnh6comawyk","value_sig",3,2,27,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"58","dvywvnh6comawyk","value_sig",3,2,28,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"59","dvywvnh6comawyk","value_sig",3,2,29,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
"60","dvywvnh6comawyk","value_sig",3,2,30,NA,0.487654320987654,9.99999999999978,0.111111111111107,116.5058064893,241.0116129786,242.301935559245,247.345688732424,4.22222222222239
