"","sub","model","rr","pu","rho","bestfit"
"63","3jrram86yd3uhgb","perc_offset",2,1,0.0916781675426568,"value_alt_offset"
"64","3jrram86yd3uhgb","perc_offset",2,2,0.347736625514403,"value_alt_offset"
"65","3jrram86yd3uhgb","perc_offset",3,1,0.203703703703704,"value_alt_offset"
"66","3jrram86yd3uhgb","perc_offset",3,2,0.150205761316872,"value_alt_offset"
"67","3t9q259awsqqnjn","perc_offset",1,1,0.388887007212466,"value_alt_offset"
"68","3t9q259awsqqnjn","perc_offset",1,2,0.434156378600823,"value_alt_offset"
"69","3t9q259awsqqnjn","perc_offset",2,1,0.944444444444444,"value_alt_offset"
"70","3t9q259awsqqnjn","perc_offset",2,2,0.376543209876543,"value_alt_offset"
"71","3t9q259awsqqnjn","perc_offset",3,1,0.573616826703247,"value_alt_offset"
"72","3t9q259awsqqnjn","perc_offset",3,2,0.430041152263374,"value_alt_offset"
"73","4g3g9s2nj7eh7g9","perc_offset",1,1,0.314814814814815,"value_alt_offset"
"74","4g3g9s2nj7eh7g9","perc_offset",1,2,0.179012345679011,"perc_offset"
"75","4g3g9s2nj7eh7g9","perc_offset",2,1,0.0555555555555556,"value_alt_offset"
"76","4g3g9s2nj7eh7g9","perc_offset",2,2,0.154320987654321,"value_alt_offset"
"77","4g3g9s2nj7eh7g9","perc_offset",3,1,0.0307117817405883,"value_alt_offset"
"78","4g3g9s2nj7eh7g9","perc_offset",3,2,0.623456790123457,"value_alt_offset"
"79","4ns4fa2xqw95lgx","perc_offset",1,1,0.417695473251029,"value_alt_offset"
"80","4ns4fa2xqw95lgx","perc_offset",1,2,0.611094168279778,"perc_offset"
"81","4ns4fa2xqw95lgx","perc_offset",2,1,0.561728395061728,"perc_offset"
"82","4ns4fa2xqw95lgx","perc_offset",2,2,0.200045724737083,"value_alt_offset"
"83","4ns4fa2xqw95lgx","perc_offset",3,1,0.388888888888889,"value_alt_offset"
"84","4ns4fa2xqw95lgx","perc_offset",3,2,0.121399176954733,"value_alt_offset"
"85","4tcxev3874jk89a","perc_offset",1,1,0.438271604938403,"value_alt_offset"
"86","4tcxev3874jk89a","perc_offset",1,2,0.537494284407865,"value_alt_offset"
"87","4tcxev3874jk89a","perc_offset",2,1,0.302469135802469,"value_alt_offset"
"88","4tcxev3874jk89a","perc_offset",2,2,0.216049382716049,"value_alt_offset"
"89","4tcxev3874jk89a","perc_offset",3,1,0.989711934156379,"value_alt_offset"
"90","4tcxev3874jk89a","perc_offset",3,2,0.771604938271605,"value_alt_offset"
"91","57znvber9kc1tnj","perc_offset",1,1,0.187243425579384,"value_alt_offset"
"92","57znvber9kc1tnj","perc_offset",1,2,0.187242798353909,"value_alt_offset"
"93","57znvber9kc1tnj","perc_offset",2,1,0.12962962962963,"value_alt_offset"
"94","57znvber9kc1tnj","perc_offset",2,2,0.166666666666667,"value_alt_offset"
"95","57znvber9kc1tnj","perc_offset",3,1,0.0720164609053498,"value_alt_offset"
"96","57znvber9kc1tnj","perc_offset",3,2,0.150205761316872,"value_alt_offset"
"97","5cp1qjka53bl73q","perc_offset",1,1,0.133744855967078,"perc_offset"
"98","5cp1qjka53bl73q","perc_offset",1,2,0.117334755880709,"perc_offset"
"99","5cp1qjka53bl73q","perc_offset",2,1,0.0553855774519969,"perc_offset"
"100","5cp1qjka53bl73q","perc_offset",2,2,0.0267489711934157,"value_alt_offset"
"101","5cp1qjka53bl73q","perc_offset",3,1,0.0802467047918876,"perc_offset"
"102","5cp1qjka53bl73q","perc_offset",3,2,0.166209419295839,"value_alt_offset"
"103","5jwar0bvwr53h40","perc_offset",1,1,0.16803840877915,"value_alt_offset"
"104","5jwar0bvwr53h40","perc_offset",1,2,0.919753086419753,"value_alt_offset"
"105","5jwar0bvwr53h40","perc_offset",2,1,0.907407407407407,"value_alt_offset"
"106","5jwar0bvwr53h40","perc_offset",2,2,0.277777777777778,"value_alt_offset"
"107","5jwar0bvwr53h40","perc_offset",3,1,0.722222222222222,"value_alt_offset"
"108","5jwar0bvwr53h40","perc_offset",3,2,0.462962962962963,"value_alt_offset"
"109","5o4n9abwu4u5bb5","perc_offset",1,1,0.141822892851699,"perc_offset"
"110","5o4n9abwu4u5bb5","perc_offset",1,2,0.117283950617284,"perc_offset"
"111","5o4n9abwu4u5bb5","perc_offset",2,1,0.388888888888889,"value_alt_offset"
"112","5o4n9abwu4u5bb5","perc_offset",2,2,0.0925925925819705,"value_alt_offset"
"113","5o4n9abwu4u5bb5","perc_offset",3,1,0.104938271604938,"value_alt_offset"
"114","5o4n9abwu4u5bb5","perc_offset",3,2,0.0843621399176955,"value_alt_offset"
"115","5pgqs0v0feqyejp","perc_offset",1,1,0.169410150891632,"value_alt_offset"
"116","5pgqs0v0feqyejp","perc_offset",1,2,0.390260631001372,"value_alt_offset"
"117","5pgqs0v0feqyejp","perc_offset",2,1,0.109053497942387,"value_alt_offset"
"118","5pgqs0v0feqyejp","perc_offset",2,2,0.131001302050393,"value_alt_offset"
"119","5pgqs0v0feqyejp","perc_offset",3,1,0.240740740453944,"value_alt_offset"
"120","5pgqs0v0feqyejp","perc_offset",3,2,0.216506630086877,"value_alt_offset"
"121","6be4c2orpqft8ul","perc_offset",1,1,0.977366255144033,"perc_offset"
"122","6be4c2orpqft8ul","perc_offset",1,2,0.858024761145343,"value_alt_offset"
"123","6be4c2orpqft8ul","perc_offset",2,1,0.377914951989026,"value_alt_offset"
"124","6be4c2orpqft8ul","perc_offset",2,2,0.722222222222222,"value_alt_offset"
"125","6be4c2orpqft8ul","perc_offset",3,1,0.858024691358025,"value_alt_offset"
"126","6be4c2orpqft8ul","perc_offset",3,2,0.833485749123609,"value_alt_offset"
"127","6wyn194o3vd7jmv","perc_offset",1,1,0.0432092493178667,"perc_offset"
"128","6wyn194o3vd7jmv","perc_offset",1,2,0.303078798963573,"perc_offset"
"129","6wyn194o3vd7jmv","perc_offset",2,1,0.0171467764060373,"value_alt_offset"
"130","6wyn194o3vd7jmv","perc_offset",2,2,0.187242798353909,"value_alt_offset"
"131","6wyn194o3vd7jmv","perc_offset",3,1,0.166666039441192,"perc_offset"
"132","6wyn194o3vd7jmv","perc_offset",3,2,0.174897127085088,"value_alt_offset"
"133","70kcrqfjf2xhh4m","perc_offset",1,1,0.812757201646091,"value_alt_offset"
"134","70kcrqfjf2xhh4m","perc_offset",1,2,0.722222222222222,"value_alt_offset"
"135","70kcrqfjf2xhh4m","perc_offset",2,1,0.944444444444444,"value_alt_offset"
"136","70kcrqfjf2xhh4m","perc_offset",2,2,0.981481481481481,"value_alt_offset"
"137","70kcrqfjf2xhh4m","perc_offset",3,1,0.609739369030495,"value_alt_offset"
"138","70kcrqfjf2xhh4m","perc_offset",3,2,0.74691355701634,"value_alt_offset"
"139","7bwng7h1w9q6djl","perc_offset",1,1,0.796296296296296,"value_alt_offset"
"140","7bwng7h1w9q6djl","perc_offset",1,2,0.5,"value_alt_offset"
"141","7bwng7h1w9q6djl","perc_offset",2,1,0.660493827160494,"value_alt_offset"
"142","7bwng7h1w9q6djl","perc_offset",2,2,0.606995884773663,"value_alt_offset"
"143","7bwng7h1w9q6djl","perc_offset",3,1,0.87037037037037,"value_alt_offset"
"144","7bwng7h1w9q6djl","perc_offset",3,2,0.495884773662551,"value_alt_offset"
"145","7pjw0pz87exlgmd","perc_offset",1,1,0.833333333333333,"value_alt_offset"
"146","7pjw0pz87exlgmd","perc_offset",1,2,0.718106995884769,"value_alt_offset"
"147","7pjw0pz87exlgmd","perc_offset",2,1,0.832876085866907,"value_alt_offset"
"148","7pjw0pz87exlgmd","perc_offset",2,2,0.746913580246913,"value_alt_offset"
"149","7pjw0pz87exlgmd","perc_offset",3,1,0.833333403025053,"value_alt_offset"
"150","7pjw0pz87exlgmd","perc_offset",3,2,0.944444444444444,"value_alt_offset"
"151","85aq8xl8ayntz3l","perc_offset",1,1,0.960905349794239,"value_alt_offset"
"152","85aq8xl8ayntz3l","perc_offset",1,2,0.388888888888889,"value_alt_offset"
"153","85aq8xl8ayntz3l","perc_offset",2,1,0.87037044006209,"value_alt_offset"
"154","85aq8xl8ayntz3l","perc_offset",2,2,0.58641975308642,"value_alt_offset"
"155","85aq8xl8ayntz3l","perc_offset",3,1,0.438119189147996,"perc_offset"
"156","85aq8xl8ayntz3l","perc_offset",3,2,0.240740740740741,"value_alt_offset"
"157","8epzoljwn0gbtge","perc_offset",1,1,0.693415637860082,"value_alt_offset"
"158","8epzoljwn0gbtge","perc_offset",1,2,0.833180917543057,"value_alt_offset"
"159","8epzoljwn0gbtge","perc_offset",2,1,0.919753086419753,"value_alt_offset"
"160","8epzoljwn0gbtge","perc_offset",2,2,0.944444444444444,"value_alt_offset"
"161","8epzoljwn0gbtge","perc_offset",3,1,0.95679012345679,"value_alt_offset"
"162","8epzoljwn0gbtge","perc_offset",3,2,0.660493827160494,"value_alt_offset"
"163","8es63ovt8uw2mgg","perc_offset",1,1,0.051440329218107,"perc_offset"
"164","8es63ovt8uw2mgg","perc_offset",1,2,0.128257887517147,"perc_offset"
"165","8es63ovt8uw2mgg","perc_offset",2,1,0.0925928015722823,"value_alt_offset"
"166","8es63ovt8uw2mgg","perc_offset",2,2,0.128257887517147,"value_alt_offset"
"167","8es63ovt8uw2mgg","perc_offset",3,1,0.0953360768174272,"value_alt_offset"
"168","8es63ovt8uw2mgg","perc_offset",3,2,0.0925925926032147,"value_alt_offset"
"169","8le0rzndxgpur8r","perc_offset",1,1,0.401234567901235,"value_alt_offset"
"170","8le0rzndxgpur8r","perc_offset",1,2,0.648148148148148,"value_alt_offset"
"171","8le0rzndxgpur8r","perc_offset",2,1,0.0967078189300412,"value_alt_offset"
"172","8le0rzndxgpur8r","perc_offset",2,2,0.401234567901235,"value_alt_offset"
"173","8le0rzndxgpur8r","perc_offset",3,1,0.203703703703704,"value_alt_offset"
"174","8le0rzndxgpur8r","perc_offset",3,2,0.203703634011984,"perc_offset"
